genome	true_class	top_class	top_p	0	1	2	3	4	5	6	7
G001536165	5	5.0	0.6218008995056152	0.055367033928632736	0.06098148599267006	0.039690420031547546	0.018634170293807983	0.027606355026364326	0.6218008995056152	0.0332220159471035	0.14269769191741943
G001803285	6	6.0	0.6214226484298706	0.0007996619679033756	0.10761719197034836	0.03163044527173042	0.0017718898598104715	0.12830372154712677	0.043049637228250504	0.6214226484298706	0.06540489941835403
G001536025	5	5.0	0.6182194352149963	0.05270757898688316	0.06476626545190811	0.0418177992105484	0.021582938730716705	0.02921420708298683	0.6182194352149963	0.03420625999569893	0.1374855786561966
G001580195	6	6.0	0.8477091789245605	0.0013349541695788503	0.02262033335864544	0.014504415914416313	0.000741810945328325	0.04472682625055313	0.014339536428451538	0.8477091789245605	0.054022930562496185
G900129735	7	6.0	0.36601370573043823	0.014036071486771107	0.13264325261116028	0.06482404470443726	0.0043897246941924095	0.05477594956755638	0.0337446965277195	0.36601370573043823	0.32957255840301514
G001804665	5	5.0	0.40497931838035583	0.07151421159505844	0.05907893925905228	0.09107667207717896	0.05937294289469719	0.13362126052379608	0.40497931838035583	0.041538722813129425	0.13881787657737732
G900101435	3	4.0	0.39936256408691406	0.005551127716898918	0.01696193404495716	0.1430235505104065	0.3955850601196289	0.39936256408691406	0.012569074518978596	0.008724883198738098	0.01822187937796116
G900112615	4	4.0	0.8053215146064758	0.007635782472789288	0.012597803957760334	0.06902138888835907	0.06389022618532181	0.8053215146064758	0.012577624060213566	0.012626707553863525	0.016329027712345123
G000974425	2	2.0	0.6306654214859009	0.003840519580990076	0.04929136112332344	0.6306654214859009	0.03357142210006714	0.2114393413066864	0.012530704028904438	0.04158909246325493	0.01707220822572708
G000378105	6	6.0	0.3826560080051422	0.05551154166460037	0.061110060662031174	0.33714786171913147	0.009730406105518341	0.09103944152593613	0.03213035687804222	0.3826560080051422	0.030674342066049576
G001007025	0	0.0	0.9319725036621094	0.9319725036621094	0.009862499311566353	0.01812928356230259	0.003762422828003764	0.006585692521184683	0.005633116699755192	0.011785957962274551	0.012268589809536934
G000422945	3	4.0	0.3337544798851013	0.022951047867536545	0.0548739954829216	0.1416911780834198	0.20382000505924225	0.3337544798851013	0.11564819514751434	0.02863791212439537	0.0986231118440628
G000192845	3	4.0	0.26263055205345154	0.06279310584068298	0.09126298129558563	0.20249122381210327	0.20846009254455566	0.26263055205345154	0.04944772273302078	0.05057382583618164	0.07234044373035431
G000814325	4	4.0	0.7277299165725708	0.009265048429369926	0.026914376765489578	0.10548107326030731	0.04562713950872421	0.7277299165725708	0.025286279618740082	0.03612715005874634	0.02356904000043869
G000091085	0	0.0	0.9312524795532227	0.9312524795532227	0.0099307456985116	0.018342263996601105	0.0037863380275666714	0.006645322311669588	0.005696983076632023	0.011908749118447304	0.012437013909220695
G001577125	7	5.0	0.25036075711250305	0.13418623805046082	0.044495705515146255	0.1114855483174324	0.12797436118125916	0.12635193765163422	0.25036075711250305	0.025537792593240738	0.17960762977600098
G001314545	4	4.0	0.5223707556724548	0.0024898566771298647	0.0343661829829216	0.2700663208961487	0.013883180916309357	0.5223707556724548	0.0299429539591074	0.08879441022872925	0.03808631747961044
