	G900112615	G000814325	G001314545	G900114995	G001896965	G001601815	G000020625	G000375425	G000243115	G000016085	G001567405	G001623405	G000974785	G001438265	G000375465	G001898485	G900110645	G900110995	G000020645	G000275825	G000006985	G001975825	G900156765	G000511175	G900094705	G900102545	G000814475	G000024005	G000724545	G001975465	G001724695	G900129015	G900129295	G900115755	G001897525	G001899605	G001897535	G900089555	G900129315	G900106985	G000013045	G001650905	G000012585	G000759025	G001464625	G000373105	G900089545	G900089565	G000508085	G000515315	G900089575	G001654455	G000168715	G001439115	G900089525	G900110245	G000015125	G900101395	G900129465	G000419585	G000020545	G000024845	G001564065	G900109685	G001302245	G001898505	G900110835	G000374125	G001898405	G000020465	G900116565	G000379805	G900107765	G001829005	G900119105	G000212735	G900142605	G001715195	G001644645	G000020505	G001829035	G000246855	G000374045
G900112615	0.0	19.405287	165.90135	28.498417	72.20607	41.35709	200.99803	64.5756	50.29516	254.45866	45.431736	90.953766	92.1874	59.762478	72.18188	38.00833	167.086	2.882914	159.47455	167.49942	338.90808	10.302655	27.093742	35.478542	56.17354	22.534813	58.121006	24.899836	106.40258	203.353	92.728455	108.345345	14.947631	67.024055	16.477274	24.840448	132.40953	90.281746	96.79892	36.669495	382.0255	68.843056	133.14136	126.49788	44.9684	150.46877	91.059135	89.362816	36.703896	39.52161	91.34225	36.843864	209.87997	56.23325	87.486984	31.058743	179.14552	68.5316	27.560963	357.89496	177.81572	348.793	62.105473	60.68387	21.337112	108.35874	37.095066	84.95687	24.232162	242.71602	64.271835	62.8067	27.466043	86.74278	12.358838	129.9408	47.128746	94.836	22.934832	325.83127	86.94195	35.585594	52.22839
G000814325	19.405287	0.0	108.686356	30.782667	49.99559	25.624826	127.88438	31.57703	33.528847	166.1217	25.484386	98.55576	51.741283	31.453999	57.100914	22.574152	109.14072	24.033194	90.44604	118.95898	239.99236	13.661944	41.192005	36.419437	42.696487	24.014776	25.494032	27.204214	106.70594	128.14384	51.655037	66.80459	19.64656	67.927	16.12388	32.40341	123.17241	99.752754	53.66788	15.9684925	292.20822	59.59417	84.623085	76.72088	50.149708	95.8101	99.53863	97.04225	35.945454	17.680841	99.45731	33.991497	134.31664	29.29103	95.1111	21.19967	108.70143	48.348877	23.50193	272.93732	111.93379	268.92807	35.46256	62.570896	31.708393	65.21201	32.60559	55.9779	9.514133	162.60019	31.800348	33.322186	26.654606	90.22525	13.6952095	73.04236	35.440292	52.793762	24.97359	229.4057	90.44143	24.56193	60.888172
G001314545	165.90135	108.686356	0.0	89.846924	171.54677	103.00193	44.3031	101.33983	109.44173	48.109283	124.620834	306.0748	32.89268	46.810165	183.19746	75.9493	25.257412	156.01251	50.10447	172.95084	78.4203	114.6355	161.94098	208.3454	89.03682	93.54164	48.07092	90.24777	306.31122	46.4696	40.484062	60.58557	194.44128	254.25554	129.87592	203.93607	312.8582	312.6666	32.276157	86.46017	117.940895	213.54958	142.35013	25.403728	243.29662	24.238482	312.37567	305.2302	206.41115	83.22945	311.69205	131.69717	46.373535	49.422417	303.81015	107.08084	52.80212	77.79875	99.04813	104.02724	46.54944	94.50429	103.57863	122.250755	146.48679	37.402447	78.25684	62.431873	109.76805	48.92908	70.164474	84.59861	138.23015	308.63867	106.90636	74.30828	64.69806	73.30878	169.0605	72.26189	309.02716	107.169044	258.44614
G900114995	28.498417	30.782667	89.846924	0.0	112.517845	46.78597	122.6591	68.936554	56.43558	165.41138	63.961563	175.62277	39.694363	26.464735	107.59765	23.573261	94.77672	19.309475	107.02528	171.06387	235.38954	12.335444	44.975525	91.747826	41.461876	2.5290823	26.89455	0.8019162	185.58444	132.92857	48.203506	69.05046	59.485893	130.9883	34.25662	73.983055	212.26535	177.38756	57.47935	28.721163	281.8627	116.08025	137.3189	71.102936	113.11709	84.53815	178.46625	173.60059	92.178246	28.710667	178.18951	49.324535	136.71233	25.215311	172.82419	36.638	119.4528	47.555347	14.213276	256.06274	108.76237	241.58159	68.781334	46.37828	30.560211	51.841988	13.780363	53.170124	27.355434	157.32022	52.011627	55.310883	51.277615	172.73363	10.354839	109.594925	19.827448	78.29979	55.2224	224.64734	173.05923	40.154293	123.6734
G001896965	72.20607	49.99559	171.54677	112.517845	0.0	52.20954	191.04211	58.091034	33.23863	232.48543	57.3201	45.572956	118.07	102.527695	78.95794	64.42684	171.17662	87.98122	133.9362	109.43906	290.68054	75.40917	79.24816	38.83204	79.73734	104.373566	86.0583	104.969986	69.71604	183.05862	90.8102	108.171974	52.13716	31.87536	47.66948	33.179615	53.153915	46.480663	101.20777	55.28739	341.21902	68.47052	78.131355	129.24364	30.551376	154.99936	45.247517	44.65571	37.66249	59.15561	44.671654	47.213272	190.13145	100.041145	42.184093	46.917004	149.70189	76.95294	91.397255	314.12823	172.74799	324.00192	56.567635	115.4591	74.0895	138.03224	91.45972	85.374794	52.22537	215.61926	64.76646	67.56696	43.1152	61.69753	77.54711	72.53369	92.566086	82.77101	53.704575	281.7784	61.681835	47.608486	31.365906
G001601815	41.35709	25.624826	103.00193	46.78597	52.20954	0.0	151.65353	65.960556	15.678678	185.6103	64.65701	96.39179	44.830452	42.829037	111.50374	17.505157	113.0698	44.67381	114.44951	133.1972	250.88422	36.791954	30.897243	54.12299	23.55873	40.68811	32.425728	42.38769	146.61595	148.3761	46.70888	45.58164	43.63087	67.004456	25.975473	41.118435	141.5826	100.92979	62.0304	19.713833	292.0923	113.12698	108.5602	74.28814	68.36761	97.55771	100.90666	96.0189	55.253006	20.410278	100.30356	16.595995	154.5074	41.528217	97.222374	12.7409115	127.32636	21.420103	28.526726	263.41592	135.85254	250.94092	71.88477	36.705303	28.475054	74.45093	23.297482	30.960766	19.162994	170.53651	32.415646	58.522427	35.32344	120.19528	30.538078	72.35874	27.484344	87.2014	50.473553	242.46535	120.42371	12.546346	82.04226
G000020625	200.99803	127.88438	44.3031	122.6591	191.04211	151.65353	0.0	100.84923	147.75041	20.42801	129.46973	348.69098	66.23713	78.90344	186.55255	111.79482	43.278202	194.68663	14.466129	159.18826	49.684532	148.42084	222.31595	235.55237	150.4105	126.77109	72.718796	123.14638	301.90143	11.4596	64.04153	111.65459	220.83359	284.98697	159.0334	229.70613	327.66333	352.86032	48.237625	116.28177	126.759705	201.78113	135.2586	53.512318	264.37836	51.332092	352.0502	345.62448	230.96486	113.92474	350.74173	173.29958	11.849374	81.31682	342.71542	156.6859	9.656763	125.992966	140.31998	130.30162	5.914248	126.95196	99.69881	194.65451	194.00383	55.667637	130.5968	105.9252	129.5961	12.047936	103.19163	94.175674	168.86774	327.5842	143.77625	93.70959	119.07321	65.5647	191.47722	42.268665	327.89026	158.3385	270.7168
G000375425	64.5756	31.57703	101.33983	68.936554	58.091034	65.960556	100.84923	0.0	62.78051	143.63281	20.654673	138.94383	78.038826	60.056416	37.479706	59.98279	95.95538	72.07002	69.75739	96.82825	199.62424	51.242622	107.66222	64.96288	92.30221	66.56129	49.10964	65.32956	101.408424	99.89326	64.9708	105.71308	62.64718	119.408165	45.840614	76.98435	124.734985	138.73726	43.95043	48.775574	261.35245	30.339634	82.945656	78.15518	76.80908	87.39916	137.9079	135.75256	61.629887	50.958813	137.4423	76.88655	106.0168	58.18523	131.2133	61.92685	80.361465	81.43399	67.516975	258.56436	84.12452	261.4808	9.911268	128.19405	92.42103	75.384346	74.87853	78.834366	42.851826	131.82463	54.036575	29.144394	49.72689	108.374725	54.602825	57.006306	77.05732	16.832575	52.45239	188.20772	108.48992	67.46367	83.32248
G000243115	50.29516	33.528847	109.44173	56.43558	33.23863	15.678678	147.75041	62.78051	0.0	183.16093	66.41203	90.314285	53.905285	57.700935	112.68879	21.97909	113.84483	55.723866	109.23756	118.331825	240.16345	46.122704	43.235935	62.14129	26.064043	51.664837	41.926567	52.553154	132.2357	144.06865	43.512146	53.27716	50.37962	52.454002	25.346666	36.970272	127.722145	93.98477	56.96101	24.40165	278.4179	108.42583	97.49139	77.556046	63.55811	101.159195	93.71208	89.85763	62.417175	25.586342	93.354515	8.412502	148.9729	56.61787	90.662895	16.975641	120.3157	14.108077	36.80591	249.5979	134.48784	240.53896	68.5816	43.466064	38.64009	71.64062	31.514885	20.1463	21.777197	164.92	38.352367	61.519207	29.86126	117.8718	40.675858	68.74515	37.418575	84.64772	53.906414	232.65591	118.0092	15.618334	69.98515
G000016085	254.45866	166.1217	48.109283	165.41138	232.48543	185.6103	20.42801	143.63281	183.16093	0.0	174.87762	401.06958	82.14175	100.51481	238.24805	143.92316	47.831635	247.0586	28.482382	179.80112	46.83561	192.8493	262.18887	287.4869	174.40184	166.02885	98.98676	166.04338	366.07227	17.550907	89.69227	116.710075	270.4966	332.416	205.20422	282.26575	379.92307	407.67886	70.32224	152.46535	102.79644	265.198	159.61769	58.213306	319.81906	59.958694	406.17255	398.8616	282.8866	148.6762	404.84592	209.72543	16.246922	104.06885	396.97632	193.17775	30.951868	150.21088	174.77986	107.87988	27.082237	108.6485	142.95386	217.4289	237.08513	72.7315	164.51749	126.66043	170.21747	23.558401	126.59355	128.56795	215.26036	387.44852	185.18292	109.68524	145.2256	99.16308	240.28557	41.76548	387.81375	193.27179	331.50586
