	G900101435	G000422945	G000192845	G000757725	G900109895	G900103545	G900142915	G001636615	G900107535	G900112985	G000783305	G000426825	G002000245	G900101875	G000170795	G001705515	G000242635	G000988325	G900103515	G001412655	G001899705	G000302595	G000747525	G001423945	G900100945	G900100435	G001652725	G900102835	G000832545	G000416985	G000258495	G001421515	G001006065	G001596135	G000427965	G000814685	G001027745	G000023825	G900111825	G001808025	G001442625	G900109365	G000722885	G001898335	G000799115	G000304455	G002013915	G900103125	G900116225	G900100705	G000410815	G900129215	G000686625	G000403135	G900109575	G000190735	G900155965	G900110415	G000333295	G000708265	G000020565	G000166195	G001412215	G900103665	G001730525	G000689375	G000425145	G001721645
G900101435	0.0	50.12573	50.110386	67.87591	39.202877	65.89025	17.596403	34.377956	54.294147	48.606045	106.170235	127.14942	64.53844	22.409792	80.74472	57.24601	45.346478	65.206856	48.59498	46.19002	63.68827	40.973694	79.41172	15.23156	21.774118	28.83612	121.01714	93.14386	58.512726	90.228165	24.634794	11.948342	79.189064	22.848042	98.77707	104.034355	18.388086	24.453285	8.822522	64.435905	10.234485	124.38541	48.687218	33.163445	81.365005	108.65476	59.897556	21.762888	77.89628	11.040408	24.482346	55.431416	75.4105	53.918884	49.878872	67.88596	18.223417	27.583126	34.81142	33.065704	148.12662	21.520613	33.024048	50.720394	54.24682	110.90735	86.01875	52.655315
G000422945	50.12573	0.0	53.525036	81.2721	58.542755	16.525055	51.89514	117.68642	57.277935	23.349033	86.134964	199.08557	50.154274	85.89706	97.92653	155.04681	17.472706	51.55991	23.343554	30.030333	48.207737	33.13146	36.520306	28.747274	81.53973	23.166964	59.39187	54.784557	21.452208	73.930305	16.567673	24.707136	27.131565	77.83959	123.29831	86.94637	25.844168	51.040035	22.876337	46.931	24.356089	183.95496	23.437317	107.70404	55.087498	81.48278	161.29262	74.89527	69.94366	20.78898	50.951073	40.900738	80.212166	16.799534	32.885727	21.397463	64.75528	105.17369	117.87209	13.419984	98.19895	80.665436	38.706676	40.896145	18.926702	80.661736	55.63659	34.967636
G000192845	50.110386	53.525036	0.0	8.141015	15.35013	43.240253	44.863274	71.27693	41.93328	27.566616	18.893425	88.35764	9.294859	49.34167	51.901573	83.2334	30.276457	7.883318	28.630928	28.978258	8.104012	49.205025	27.21578	34.287216	47.513206	20.01958	136.66412	24.74485	56.798897	13.776577	36.918774	48.046955	37.597622	38.357033	26.634699	20.029196	24.456753	46.862595	32.62779	8.41475	36.247334	69.31628	27.54645	58.723274	97.94701	78.80594	80.54135	44.56597	9.8725395	35.879116	46.698097	39.855812	17.427078	29.33448	10.162652	39.08787	39.93963	66.42419	72.58753	55.06287	107.76359	42.782055	47.618603	31.409344	26.35388	84.30272	102.435905	36.563255
G000757725	67.87591	81.2721	8.141015	0.0	19.154104	64.24691	62.210884	77.77981	46.5093	41.469555	17.48833	68.7169	13.267576	56.767536	45.25851	77.56547	56.93202	12.25131	42.517483	41.348804	13.403372	74.84181	44.95735	51.38012	55.773823	36.72793	180.41077	33.65775	79.1436	15.605729	57.8452	72.82358	60.19852	42.635014	15.080014	18.69559	37.72453	58.87857	51.775433	14.462508	58.34322	46.923977	41.410732	63.024574	134.14157	106.50623	74.32431	54.259468	10.333166	57.439877	58.69336	51.86526	11.268703	52.278362	26.859482	65.7543	52.14017	74.41938	76.69786	83.16856	141.41336	50.053192	71.69261	41.302273	47.622807	114.026474	139.6421	49.739407
G900109895	39.202877	58.542755	15.35013	19.154104	0.0	44.25789	27.79711	46.081547	20.804321	26.188492	38.436066	68.09201	18.29669	27.221766	29.09627	53.29069	46.45309	21.554346	26.711426	25.283995	22.52423	69.39549	54.338787	38.98558	26.39901	22.215473	167.85303	42.646046	49.938156	31.978876	44.636765	48.468933	64.06906	18.24749	25.735682	39.214806	18.914572	21.552523	28.675678	23.804987	38.636208	48.342438	26.14251	34.614815	122.83344	103.487724	53.337257	22.1933	26.813135	36.31315	21.448303	29.664354	14.988184	40.043114	27.676151	63.7576	21.437922	41.375233	45.649273	59.796497	141.52403	24.181099	58.92359	22.832783	36.165825	109.65977	127.16405	27.744194
G900103545	65.89025	16.525055	43.240253	64.24691	44.25789	0.0	59.60837	123.80448	31.574055	11.031258	59.202606	169.67116	31.630508	89.27748	59.309135	149.67079	19.780241	34.878136	11.243611	14.04099	32.894997	59.74156	33.537556	46.91191	82.59239	18.328215	105.57679	29.338572	12.828869	48.372032	30.479113	45.666573	29.669493	75.96009	88.5138	59.728817	22.423265	41.20333	33.22691	32.328556	39.126183	148.85982	11.050413	106.769	88.97677	95.65838	156.63936	73.460945	49.120163	35.223694	41.059147	17.992947	52.047916	11.681308	31.117804	30.106651	66.42604	115.042656	123.32904	30.563839	108.97117	85.291046	51.7905	19.82859	11.084467	96.71925	90.25145	15.300613
G900142915	17.596403	51.89514	44.863274	62.210884	27.79711	59.60837	0.0	19.710073	44.71082	45.781185	96.8684	115.11265	57.76731	9.941306	74.88885	47.011654	44.16034	60.21229	46.009556	49.042313	59.22121	52.55215	75.68865	28.297562	8.921571	29.130165	130.59004	90.0458	54.82729	81.07316	36.391266	25.1006	75.30124	12.714273	88.760086	97.18845	24.270617	22.66493	18.03844	59.96937	23.272305	111.96211	45.831524	19.896461	90.55162	100.80233	49.2541	8.76766	74.55175	21.975634	22.670082	57.07416	65.875046	48.599205	43.134026	68.72355	6.364569	15.407457	23.938818	42.565914	134.44446	10.809539	46.94071	51.158817	48.349754	105.829956	93.63457	53.296867
G001636615	34.377956	117.68642	71.27693	77.77981	46.081547	123.80448	19.710073	0.0	73.59251	92.35149	130.49954	94.69679	95.06377	5.705676	94.43442	16.419693	99.44451	97.66064	92.531624	95.48319	98.11988	97.56334	132.92326	61.522022	8.705947	70.125336	211.58966	142.05862	112.68709	113.74861	83.485016	63.32862	139.76285	11.195379	95.215355	128.73996	58.174618	46.798786	51.508938	100.17822	58.360832	94.69583	92.35642	4.811181	146.67694	151.01219	14.455457	11.182932	104.5277	58.63267	46.854298	102.00124	87.2627	105.60172	84.583664	130.10959	13.305507	4.304972	7.1713276	98.66194	195.37798	8.847279	87.65534	91.894806	103.46972	158.39438	152.30841	98.97691
G900107535	54.294147	57.277935	41.93328	46.5093	20.804321	31.574055	44.71082	73.59251	0.0	16.972164	64.993546	94.02666	34.998825	49.533634	13.157127	75.3628	57.36432	42.335743	16.800186	17.46873	42.72532	97.210884	77.55082	57.821766	45.134552	29.87368	195.53868	54.635067	27.65561	50.918747	57.43963	64.35487	81.08735	35.922176	52.47753	58.13488	20.439638	14.380785	38.476795	44.29812	53.114006	73.76266	16.913944	56.128723	150.08047	144.13904	83.36646	39.576057	47.63784	49.059967	14.312802	11.55087	25.757496	43.912506	52.990814	77.30013	40.799835	70.8903	68.143486	69.02958	172.4388	48.716328	83.09419	9.970143	39.46966	148.89708	154.09671	11.448741
G900112985	48.606045	23.349033	27.566616	41.469555	26.188492	11.031258	45.781185	92.35149	16.972164	0.0	45.80433	130.26736	22.391506	63.683567	39.401962	111.42158	22.090782	26.190079	0.07877019	8.248842	25.001316	54.63726	35.274685	36.66421	60.378822	11.540267	122.9258	31.951168	9.12401	32.91705	30.2095	41.19745	35.46596	50.063362	63.89965	42.750553	12.332131	25.66695	24.902792	25.049492	31.760548	110.903694	0.0025841948	75.681564	92.07794	92.19756	115.35161	52.804924	32.380257	28.377113	25.541676	12.475228	31.614683	12.907142	23.592157	30.300028	47.584854	87.25807	93.367615	35.196247	107.82842	60.657207	50.076252	11.217853	10.891083	94.42411	94.48156	8.516496
