	G000807855	G000374025	G000390185	G900112255	G000426725	G001592945	G000422585	G000974425	G000265075	G000265505	G000296815	G000277005	G000183425	G001567185	G000701505	G000263195	G001314815	G000429445	G001281695	G001442615	G900129785	G000169175	G900156415	G001078055	G000265405	G001657315	G900112005	G000325705	G000973725	G000374085	G000331535	G000373245	G900100765	G001592935	G001593005	G000473365	G000482465	G001747105	G001647285	G001890965	G900107465	G000812565	G000429425	G001050135	G000014145	G900113045	G000472485	G000429465	G000330725	G001870735	G001267955	G001898575	G001747095	G001483135	G000298295	G000714815	G001611675	G900112365	G900103285	G000429405	G900129725	G900116615	G900115665	G001592965	G900111145	G001683905	G000373265	G000295935	G000222485	G900142205	G000379765	G000566685	G900116885	G000428845	G000331105	G000166275	G000737515	G001306455	G000423565	G000024525	G000166395	G000427295	G000427405	G000473765	G000381545	G000430505	G000346615	G000715495	G000382225	G000383955	G000972495	G000023125	G000348925	G000379725	G000801315	G000374065
G000807855	0.0	115.933655	109.63409	99.32098	105.62942	105.53976	110.52376	123.16238	113.59654	105.109505	120.034065	104.916336	93.29911	105.65932	121.85564	105.905396	118.14838	105.05145	99.67531	115.38076	105.15032	108.75755	101.7209	105.36426	101.581924	101.0818	115.74541	105.39847	104.96219	118.9875	94.59793	107.50332	105.036835	107.91741	100.670715	101.860435	111.6386	100.21538	105.16094	102.21205	108.07281	19.734129	110.41747	113.2784	110.72501	97.25781	104.62025	110.26416	103.92339	108.12201	107.9752	118.13737	109.06463	112.02934	103.26081	103.34138	106.04759	120.44322	113.47212	116.5667	106.628746	111.97022	108.58596	104.90049	107.59895	94.4127	104.41474	110.89522	110.29492	101.94209	66.67274	122.50383	107.16452	121.09943	119.329834	106.686005	117.6534	124.76048	110.59965	122.699265	118.50553	117.07954	109.08379	107.604675	107.665306	106.229454	97.427795	119.41849	120.04044	114.00259	122.190216	113.92262	101.81478	110.46327	114.18564	121.74548
G000374025	115.933655	0.0	121.23806	100.28692	103.66825	112.87865	115.72646	18.424849	130.25745	118.56019	23.177471	107.84169	112.64769	118.54147	74.04132	73.03387	130.32315	124.48507	94.66009	128.04074	122.47561	103.02448	102.74421	109.07744	123.49892	112.29989	131.50131	121.43049	108.76424	20.810707	113.8198	121.54193	100.47415	114.950935	112.23243	105.48247	62.237816	122.523544	109.465836	100.33586	121.58118	119.33323	125.389824	125.24164	107.83512	106.25924	110.08028	121.30141	124.412384	36.376396	112.559425	4.995643	118.38086	109.55639	122.4705	118.67589	105.38758	19.628721	73.89039	125.34134	115.95922	127.42254	69.71165	117.626114	122.089775	111.2415	106.59755	116.816956	130.48578	118.674065	109.26665	67.03784	107.34214	73.63591	38.0883	124.74743	114.44759	82.99741	63.429394	20.619286	89.380974	129.9094	70.23334	120.95655	120.72024	102.12391	107.968994	119.04847	119.69811	33.298077	119.472725	66.94201	111.50223	107.3911	112.42603	22.23472
G000390185	109.63409	121.23806	0.0	108.097694	113.86667	88.350204	115.40941	129.92719	59.362717	114.18299	122.31975	117.742004	87.025696	90.83038	126.544754	112.466644	59.751484	56.45647	104.659195	53.39789	52.07502	111.11655	109.36921	110.48027	50.791267	81.88053	61.796776	45.31478	112.1356	127.926895	89.42777	49.94488	110.07309	89.55643	86.81096	111.86009	108.97201	90.64688	110.95263	113.646614	53.367752	114.28831	57.667305	38.45462	115.79571	107.29282	106.83357	56.124443	50.71302	116.87425	88.44087	121.61289	92.70807	114.74335	54.236782	47.438396	112.635826	126.05872	114.21224	59.456043	99.118546	59.20015	113.10323	88.917854	83.18552	90.65979	107.85253	51.390358	37.03053	85.23735	108.26688	111.62425	115.73205	126.37752	126.70092	55.51773	122.69369	132.81017	115.2651	128.40517	125.248276	41.53999	119.731445	52.63748	52.467438	111.8936	90.02676	127.8057	129.76808	116.9899	126.89849	124.02419	94.20215	116.7564	118.895035	120.0431
G900112255	99.32098	100.28692	108.097694	0.0	73.514084	98.09074	97.67856	99.71094	110.696915	96.80188	96.22674	81.6609	92.51827	98.03739	102.04952	86.594955	115.89404	108.218796	83.85847	108.50747	106.76841	91.78999	77.964485	83.838715	101.639755	92.18987	106.57106	99.34004	84.42323	100.14037	87.73757	104.27945	59.628513	94.23031	97.98279	80.918755	85.756386	98.05416	82.20408	85.78675	103.20395	102.981514	103.61175	106.044334	80.08188	85.368576	80.45577	101.98718	102.7081	90.157646	99.03818	100.62806	99.69765	86.97337	104.6436	98.25978	80.34307	98.893456	91.39118	109.946976	101.16477	107.15502	91.78685	99.78079	97.65833	94.6193	80.35931	99.02338	109.337975	100.39546	89.84889	99.99655	81.67628	98.00503	101.09147	107.026276	90.054955	100.37031	94.6498	103.69016	102.25593	108.23935	88.78623	101.63239	102.08629	87.1259	88.90613	91.744	96.68551	92.203	97.93068	97.03987	96.47042	80.16289	87.05118	104.978584
G000426725	105.62942	103.66825	113.86667	73.514084	0.0	108.78749	101.82416	103.61823	113.49472	102.2946	99.73357	81.62321	88.51131	107.007545	102.65785	96.56649	124.62501	105.28933	82.95634	114.04749	113.26307	88.76868	81.05145	82.75624	97.65383	100.10722	111.39611	104.52388	82.94102	109.891266	86.46487	103.91931	76.39708	99.81576	102.210396	83.19473	90.387924	103.33003	86.03898	89.33242	103.02826	99.72496	105.066216	107.75836	58.264378	88.44419	82.15107	110.95932	104.91219	96.59367	102.65373	102.00423	90.68529	89.211296	121.48807	99.5302	82.61023	106.18535	95.06743	114.26178	103.54701	114.931244	83.57421	96.40115	107.48399	96.4397	81.61723	92.51605	113.147736	111.549866	88.23075	95.829575	84.41298	104.38284	106.607666	109.32589	94.56211	107.431915	95.21511	99.64762	104.243965	113.30032	96.34734	106.594124	104.63859	91.59707	90.66613	94.54189	97.38247	96.8653	94.070885	102.98469	100.45483	53.405373	93.04607	110.54798
G001592945	105.53976	112.87865	88.350204	98.09074	108.78749	0.0	111.58202	123.19766	94.56291	111.25707	112.36694	107.40272	71.82075	89.502556	122.61319	107.53019	94.74029	91.555984	102.27254	96.38151	93.01658	106.33375	101.6471	108.30044	87.16053	83.5889	95.32281	87.274635	112.701485	120.07386	81.94169	89.69622	101.532234	8.747433	4.487121	103.295334	110.59305	45.90347	101.67728	99.484825	88.715546	104.628426	87.79595	92.31754	107.767685	97.56794	108.59572	89.919655	90.725784	113.16989	3.3386247	118.005554	46.67309	111.158516	84.21687	86.28654	104.12941	123.650345	111.4388	97.91009	88.22704	91.43661	107.217026	41.506638	42.456444	78.95177	105.20816	84.1369	93.129616	70.73147	94.51606	120.89948	105.51497	121.66525	118.527374	93.947205	116.84366	118.088326	110.97465	123.28636	120.45065	93.905464	110.90707	87.64066	87.83456	105.28639	79.98354	118.34359	120.0007	114.82537	120.306656	118.261955	87.84003	110.06357	111.94257	125.43596
G000422585	110.52376	115.72646	115.40941	97.67856	101.82416	111.58202	0.0	119.29925	121.1914	55.76578	114.16025	106.13735	103.41146	112.880005	118.74699	105.78203	122.617096	118.579666	102.84945	118.94373	119.04223	107.3123	101.84916	108.84856	113.24076	101.58085	123.65938	117.58613	107.89343	118.626236	102.85355	116.081116	101.98131	110.272675	109.0673	108.63651	111.711044	108.87124	104.015816	110.97935	113.12147	110.59175	120.0316	119.49837	109.87831	77.60787	107.01952	114.972206	117.83433	111.365456	108.123535	116.0198	106.885925	111.203384	114.473526	113.22164	103.281395	120.54686	109.70783	117.31358	112.206604	117.72025	108.779816	113.099724	112.05325	101.09033	104.17558	115.33787	118.013016	116.05454	100.222176	118.49926	105.02072	117.050064	118.27483	119.48713	113.7422	117.86638	108.82522	121.6394	117.181816	119.29713	109.21356	113.96944	113.08704	105.122314	101.17243	116.6095	120.74958	114.60076	117.177505	115.78534	108.58002	109.06332	113.89474	121.75447
G000974425	123.16238	18.424849	129.92719	99.71094	103.61823	123.19766	119.29925	0.0	134.40012	113.88301	28.716915	109.56528	117.050316	119.60886	77.912994	77.83237	138.30048	126.60108	101.17195	135.03242	130.86131	105.167	106.5045	108.616356	120.346344	118.90926	133.41061	119.99328	111.82465	22.955023	112.51503	124.944664	112.43705	114.07738	119.81112	105.77077	65.7527	120.360535	107.418274	102.17602	125.87796	127.176544	127.90834	127.83415	110.77652	106.56098	109.5714	127.157364	126.96524	37.300858	121.179955	19.232986	116.02003	112.17152	124.17686	127.55654	107.94937	14.256936	74.37217	132.52168	112.36824	133.1133	75.71082	125.48465	123.98167	113.28609	106.26541	126.48631	123.931915	124.9646	114.162224	74.15847	110.42533	72.23661	40.983257	125.9816	119.46874	87.671875	71.1949	10.067501	91.289246	122.61895	77.50668	125.25744	125.087616	102.81558	114.708435	115.237946	121.39579	37.360367	114.58412	75.36375	119.059166	113.272446	114.41762	19.922176
G000265075	113.59654	130.25745	59.362717	110.696915	113.49472	94.56291	121.1914	134.40012	0.0	124.35931	129.34776	120.890236	97.35352	104.385956	131.23409	115.18189	60.466724	58.443604	113.05685	59.24766	59.967503	121.286285	115.49905	121.66924	52.564575	96.53885	58.305984	56.08072	116.89238	132.29831	89.38966	56.959232	111.95252	94.11988	92.7437	120.43404	120.06922	93.05906	117.37375	119.335815	54.60232	118.9389	57.26441	62.762005	114.36754	108.73572	109.71345	57.779903	58.594635	125.52018	96.84488	130.56831	99.40982	123.325356	53.001167	56.52503	121.30399	126.40702	125.26898	60.52617	104.21707	58.049908	120.20596	98.42654	97.51402	101.100174	116.58659	51.183376	63.61483	94.71101	104.38545	127.54362	124.21429	131.79724	134.24062	54.646843	130.27818	133.86829	124.0086	132.45561	133.10686	65.20704	125.602875	53.633793	53.71933	116.82863	91.63492	128.83504	136.86588	129.28871	126.26345	121.83867	99.63509	125.10891	125.887764	133.74141
G000265505	105.109505	118.56019	114.18299	96.80188	102.2946	111.25707	55.76578	113.88301	124.35931	0.0	111.51659	100.97302	106.10289	112.17339	118.93029	104.51512	120.238945	118.952675	96.035126	116.565384	118.062706	105.168175	98.41817	105.16761	99.65257	102.47544	117.956	112.73723	105.3007	118.730736	101.76944	112.37541	98.117165	105.736206	110.10311	102.060005	108.02913	110.76104	102.86009	107.03507	110.85099	109.559204	114.82868	121.63369	107.317184	76.24571	101.48318	114.38214	116.792984	107.27802	109.87533	118.49907	108.524475	107.79246	111.46985	114.66145	101.35064	119.67929	107.86697	116.13663	108.8847	112.16196	105.84573	113.69302	112.790474	103.11893	100.13243	111.422325	117.777504	109.79915	93.404335	113.11643	102.86372	117.74432	118.31122	118.33797	113.60795	117.993416	107.47387	119.804146	119.90985	120.72667	108.976685	111.24327	110.710205	104.648735	98.88153	113.98782	114.107796	113.496506	114.38141	115.60493	108.89718	107.22327	112.66674	120.79724
