	G000988325	G001442625	G000708265	G000302595	G000410815	G000783305	G001721645	G000832545	G900103125	G001652725	G900111825	G000020565	G900109575	G000258495	G002000245	G000192845	G900112985	G900110415	G000416985	G000814685	G001027745	G000333295	G900107535	G000190735	G900109365	G001898335	G000023825	G001412215	G000403135	G000427965	G900103545	G000425145	G900100705	G001636615	G000170795	G000422945	G900102835	G900101435	G000757725	G000304455	G000242635	G900100435	G001705515	G002013915	G001423945	G900100945	G000689375	G000747525	G900103515	G001006065	G000799115	G001421515	G001730525	G900103665	G001412655	G000686625	G001596135	G001899705	G001808025	G900155965	G000426825	G000166195	G900116225	G900101875	G900129215	G900109895	G000722885	G900142915
G000988325	0.0	91.32373	90.732704	88.76954	91.04674	34.353146	94.87215	92.47241	96.724525	83.58543	92.21392	151.8397	63.99167	88.2445	8.566014	60.22988	94.88051	90.563255	49.258423	50.757744	94.13686	106.59918	95.94453	86.640434	54.81865	101.72746	91.888336	87.31527	89.49687	68.01116	84.799225	82.743286	93.690056	98.49925	94.5171	87.8861	43.650215	90.65358	44.695847	178.87047	84.77808	86.316025	96.345	100.23602	88.70092	92.88859	179.34491	30.767124	96.16304	34.408947	80.44075	90.84291	88.83025	87.08001	91.367134	12.924927	98.32392	3.0891626	3.8542764	98.74651	135.81273	89.637886	45.313763	93.027306	92.283424	62.4836	94.27191	87.97431
G001442625	91.32373	0.0	16.842442	61.089314	43.137474	87.537254	43.482056	43.823807	68.22134	58.929317	10.45103	133.31844	68.70171	15.741432	86.097404	73.64623	45.877193	72.553314	78.96335	91.633545	15.109155	78.24577	41.65915	58.501675	70.343735	76.62871	43.407303	34.51038	62.062664	74.43255	57.834213	57.89761	8.032535	65.14751	45.14314	64.40077	83.104485	9.443277	87.65918	164.18379	74.74167	39.82618	63.75448	72.29973	17.179506	69.05752	167.29544	88.786934	45.115814	89.58312	58.1272	5.200503	64.286804	44.661064	43.980522	88.59651	72.699684	89.55866	94.381134	67.91781	123.16691	66.10345	87.20694	70.63875	41.645794	79.435265	46.37107	65.124405
G000708265	90.732704	16.842442	0.0	69.87695	41.92757	81.591095	41.26309	43.963997	70.70404	58.26041	18.836147	140.5402	68.267975	11.215448	88.89787	78.35222	46.40404	69.11258	95.61842	92.47098	13.069342	79.71258	46.215546	65.354195	69.583206	68.81959	42.2418	34.91742	63.720238	72.78582	55.997704	58.5735	15.47911	66.66695	44.274788	58.717762	86.773056	16.021584	83.59755	167.21542	74.1319	39.359955	68.041885	71.31143	17.70426	70.0742	168.62129	79.74327	45.941372	83.87466	57.922596	17.03865	61.667004	43.46532	42.177082	91.84749	67.06275	91.19247	94.20141	65.56052	117.68623	64.01729	84.599884	70.68616	43.226276	70.309235	46.153606	64.54714
G000302595	88.76954	61.089314	69.87695	0.0	65.28403	81.38494	66.076096	65.99475	65.645546	22.12701	64.947525	141.20758	75.22694	59.971382	85.62461	70.34598	69.860176	72.73683	78.10504	87.66525	62.189075	72.802795	66.6946	39.094524	66.941536	73.40817	66.73624	58.313408	59.4268	68.74481	60.439114	34.78263	60.88448	65.41504	65.95235	57.148617	79.6955	61.716114	77.55329	156.91098	65.49719	66.04879	67.9417	72.09371	58.191315	67.76379	154.07138	84.831	69.47062	87.70174	35.46664	62.21366	60.36526	67.39175	63.96915	82.700005	65.42197	86.935135	86.09537	66.51329	113.93918	61.32181	76.95897	67.547035	65.403854	64.101906	70.5219	66.38455
G000410815	91.04674	43.137474	41.92757	65.28403	0.0	84.54374	22.459381	32.433487	71.16564	62.66602	43.631775	140.51285	77.430725	46.43154	93.41993	83.26852	34.48891	68.49251	88.84041	94.51213	38.696293	76.592995	30.797823	66.19372	74.44787	69.96094	0.1882434	32.63826	66.06091	75.69511	62.216843	61.79308	43.047413	67.95598	25.352865	61.34884	89.58845	40.235203	88.36851	168.0069	77.98825	13.476873	65.95001	75.2479	38.47301	68.752075	167.7898	84.86614	34.77801	88.161934	62.218613	43.297672	63.695927	24.804913	24.127361	91.125	74.85952	90.589615	92.55963	72.370316	121.32817	65.36923	89.69836	71.38543	23.153723	70.649185	34.753815	64.76429
G000783305	34.353146	87.537254	81.591095	81.38494	84.54374	0.0	80.541115	87.2498	89.31921	72.50725	84.82542	144.81195	57.940918	81.456024	32.110546	56.206505	85.50161	82.113365	36.07078	41.109386	75.01702	93.29192	87.246666	78.47406	46.124725	90.31019	86.58212	74.400185	84.711624	53.30986	75.899574	71.38746	85.32921	86.61157	83.39656	73.87003	39.205173	85.06689	38.351574	169.25816	86.21813	76.50799	93.29942	90.800865	79.94923	83.87494	171.90906	28.969917	85.67113	39.873142	72.90093	85.25202	80.86851	87.14326	90.870544	34.82064	80.78538	37.73613	38.058422	85.03774	123.57072	80.2741	37.410946	93.94576	87.57805	57.672897	84.63605	84.57866
G001721645	94.87215	43.482056	41.26309	66.076096	22.459381	80.541115	0.0	29.19851	66.24711	62.949028	39.092625	147.30888	76.39304	42.087337	88.10657	72.7588	31.503252	70.48216	86.4632	90.45032	39.380222	71.93399	32.2146	61.898422	71.67594	71.18671	23.139553	32.89238	65.20347	78.390076	58.104103	61.68265	40.429092	68.24399	17.826952	57.15146	84.69221	39.105614	89.59038	163.86472	78.78836	21.662968	68.9293	68.2544	40.05683	74.20005	162.28432	85.14435	31.410189	92.14131	60.474884	42.91738	62.267952	6.7959275	11.442464	92.64433	69.43397	96.31516	97.37895	67.61658	119.601746	63.220875	87.86457	74.40495	5.4740777	74.22146	31.436218	67.56588
G000832545	92.47241	43.823807	43.963997	65.99475	32.433487	87.2498	29.19851	0.0	71.804245	67.3488	43.989605	142.6845	77.032555	42.432697	87.49509	82.486534	23.684807	72.119354	88.834045	97.59316	41.407787	79.555885	16.109722	67.912605	75.23367	76.004364	31.940737	35.772327	66.3706	77.52126	61.402245	60.32918	46.216343	66.688965	33.95226	63.594456	96.241684	43.56625	95.101944	164.41609	73.151665	32.067944	72.11362	73.35631	43.85318	70.32973	165.58286	83.477936	23.009506	87.6125	63.942715	43.472458	66.38037	33.90877	30.970966	86.468346	74.41249	89.95672	95.86825	69.43007	119.83845	63.327232	83.39017	73.46072	27.623863	79.06687	24.254725	69.469635
G900103125	96.724525	68.22134	70.70404	65.645546	71.16564	89.31921	66.24711	71.804245	0.0	64.47598	67.821815	141.43703	82.61236	67.09451	87.24731	80.74307	74.19185	19.382843	87.2257	95.53147	69.60176	24.73727	71.143776	65.77505	74.05332	33.29485	72.002014	64.6891	67.07656	79.65013	53.670746	62.115566	69.60348	28.762	70.48032	59.240177	89.23564	67.553665	90.28463	164.50122	80.0442	69.072754	35.26612	35.91233	73.23926	17.634075	164.08957	89.70018	74.68311	89.588394	64.306046	71.41882	66.48705	69.42759	67.68686	92.224014	31.521631	95.4312	96.41511	6.107177	122.076416	36.704178	87.92893	16.681122	66.56185	75.33176	73.68148	26.385527
G001652725	83.58543	58.929317	58.26041	22.12701	62.66602	72.50725	62.949028	67.3488	64.47598	0.0	65.08719	132.9542	66.38548	58.290752	81.36413	68.84709	66.71679	64.23389	79.26533	82.00008	63.366096	71.43409	65.684	35.820736	59.840923	72.19364	63.914906	60.200474	61.03594	65.95332	57.23955	32.01733	60.297836	64.89071	62.745308	52.915607	72.64886	63.554802	79.86265	159.7568	65.53939	64.52648	61.194523	73.16196	58.233536	67.71005	158.59772	74.9893	65.50633	72.30348	33.03243	58.149586	61.974777	61.497772	64.50484	79.82087	67.000275	84.5306	84.77474	68.203156	109.87963	57.189472	78.75967	63.94277	63.952316	67.91195	67.275566	60.220417
