	G001803285	G001580195	G000378105	G000172555	G000171235	G000019665	G000436395	G001919485	G001439535	G001304075	G001804885	G000385295	G001917935	G000264605	G000382665	G000383755	G001683795	G000817245	G000437075	G000155695	G000402275	G900141815	G000383735	G001914855	G001318295	G000953475	G001914875	G000383715	G000526255	G001831055	G000406005	G001647615	G000025905	G000020225	G001613545	G000172155	G000739615	G000493945	G001604585	G001940945	G001917295	G000285795	G000428305	G001604605	G001604625	G001603055	G000379365	G000980515	G000170755	G000438015	G000405145	G001438005	G001803205	G001804785	G001803225	G000382685	G000242935	G000723745	G001017655	G000372285	G001872735	G000972765	G000405125	G001580015	G000380785	G000019965	G000173075	G001578645	G001803255	G001803315
G001803285	0.0	89.86824	188.35495	95.23355	104.676346	280.68054	102.62451	141.31673	152.3887	103.05188	145.56923	210.49893	161.2514	202.90456	292.82642	264.9882	64.63465	377.0772	101.505714	161.89882	421.7015	153.20709	204.83073	149.25165	219.37927	347.86758	142.1178	184.4959	136.2464	326.25052	182.5864	89.91669	127.52578	103.1479	81.67107	71.6902	94.16935	422.99393	102.184944	102.39851	100.12409	205.73277	175.0167	179.60165	100.02396	124.79407	114.50957	98.0414	334.31506	248.30518	432.10385	121.98975	403.00204	202.59326	256.20828	288.67566	94.47561	103.335655	86.98383	157.11487	268.83276	103.349464	425.88037	187.93495	423.20273	169.60506	98.39804	89.84989	0.37960663	0.06697355
G001580195	89.86824	0.0	233.23425	133.79547	184.09993	224.36348	5.5910835	216.88246	224.99768	201.90218	147.37526	216.69485	240.74844	219.59485	265.0583	240.58267	86.29366	315.35306	3.5372903	218.51222	363.53403	165.36263	222.07132	226.26643	190.00087	289.9301	217.05434	196.8316	174.23244	289.6005	236.67816	0.0017735552	196.22937	5.1363997	139.41759	99.69351	159.96487	364.5313	126.19027	5.8927484	5.919507	222.12534	233.20428	169.31892	101.86575	187.677	147.67896	7.0226874	317.64545	222.3545	371.70578	157.36734	338.39224	169.84917	196.0826	263.27594	178.04413	4.666172	165.6763	206.79921	254.42975	193.5932	366.43802	258.74173	364.6882	285.89694	184.71753	0.002201205	88.02625	90.53055
G000378105	188.35495	233.23425	0.0	45.292168	163.04022	164.02055	226.06229	79.97375	31.050192	117.9188	75.31527	59.697563	102.81181	40.930305	133.75504	114.42784	123.63346	195.29187	262.63348	53.898815	290.9003	17.80985	41.000484	88.9711	66.55175	171.70557	80.741806	45.896538	182.15242	154.36147	75.862785	233.37042	22.361273	229.89317	108.75851	98.84172	135.83719	291.87354	110.39587	224.82748	217.22658	42.83522	28.318151	74.337074	79.11883	300.66522	147.75186	207.89482	122.57467	182.43127	300.5982	91.75714	240.11823	131.2306	188.59651	127.819466	222.17545	235.1142	215.88156	49.550987	108.18223	142.941	293.0644	188.82074	291.89172	259.05023	145.17792	233.16435	184.999	189.71402
G000172555	95.23355	133.79547	45.292168	0.0	107.42565	128.75894	124.91	43.85634	33.56677	81.79229	34.524956	46.342297	64.2389	42.233288	105.37348	86.91813	68.68954	174.6853	160.2458	56.078484	236.30743	42.555492	43.280174	52.147057	68.208855	152.82533	44.304123	34.357548	148.07625	127.045906	51.598465	133.91748	25.697533	128.68398	75.16675	73.33741	107.117455	237.5037	78.93113	123.58204	118.40727	43.641155	32.685555	41.683678	35.78965	225.68465	110.650085	111.27246	123.34701	108.34155	245.1791	59.59025	202.36325	77.072105	121.126656	101.6078	148.25885	132.90562	152.57318	33.22497	88.961655	102.19036	239.49316	162.00581	237.58298	202.96452	96.66432	133.74313	92.27635	96.16938
G000171235	104.676346	184.09993	163.04022	107.42565	0.0	282.77182	197.88509	96.777016	111.91908	57.65278	189.92624	228.91373	99.74503	180.3091	300.21323	276.43085	59.70037	363.05707	196.85355	95.760666	427.23685	161.7111	180.519	97.41867	229.87782	335.9055	96.4397	206.69092	102.73319	298.31458	183.228	184.1042	118.568886	200.58876	49.21621	88.87917	60.423344	427.26797	80.76712	196.66089	192.12563	182.39015	139.04716	189.75272	118.02373	82.718285	92.3826	188.9077	310.93283	222.5067	435.082	96.982925	401.806	210.4773	275.4811	295.9901	28.807182	202.61147	65.32695	160.99599	259.81735	21.348522	429.9307	65.693756	427.4877	79.46905	40.61044	183.96815	107.00263	104.66042
G000019665	280.68054	224.36348	164.02055	128.75894	282.77182	0.0	197.68018	195.21236	176.48494	263.17743	96.29201	83.78217	217.39201	71.760826	47.86167	43.85328	214.19585	28.627285	257.22968	167.48506	124.58223	140.60605	72.72486	207.49931	70.66156	21.89565	194.7174	93.14852	259.03366	46.36928	138.4169	224.51653	178.69081	203.69394	232.79106	237.397	275.169	124.45994	234.39731	195.67657	190.67328	70.89921	155.99078	52.781483	106.00374	399.17584	217.53542	182.9788	75.84736	108.65198	127.34141	130.65063	94.902374	70.217354	82.6029	48.536278	327.8247	210.48615	324.3784	123.604454	57.382023	271.10043	124.66142	329.38657	124.43653	409.5779	281.94302	224.24284	274.3497	281.4943
G000436395	102.62451	5.5910835	226.06229	124.91	197.88509	197.68018	0.0	213.26506	219.82094	214.61551	127.91859	192.86006	238.82162	202.70758	233.60408	211.04507	93.13458	279.8017	11.4816475	216.99266	325.99838	158.81236	205.37694	223.1341	168.51324	256.37122	213.20485	176.65504	192.01825	256.59067	218.5127	5.6176047	193.76236	0.27534428	153.28813	113.57469	181.06987	327.02966	136.34335	0.10279277	0.32561916	205.05753	223.22699	146.31355	94.17988	218.5777	160.63014	0.74153715	286.89215	195.88971	333.84958	155.91646	299.55823	145.63658	165.22462	232.29364	197.59955	0.523633	188.23895	191.37119	224.28917	208.56763	328.77884	274.75577	327.14984	309.29654	201.41388	5.585665	99.85889	103.37262
G001919485	141.31673	216.88246	79.97375	43.85634	96.777016	195.21236	213.26506	0.0	26.62486	40.54751	93.015434	109.7822	4.5058703	78.64992	177.0097	158.13695	93.36635	241.51677	246.27835	48.000706	308.26562	98.738686	77.08381	2.0892456	131.07518	218.47118	0.34263447	96.253136	131.14247	176.00816	70.91341	216.9698	38.34127	218.26654	70.4806	126.27646	103.74395	309.2603	87.918304	211.29544	205.97351	79.25388	38.6973	91.40006	76.22128	229.98463	102.184654	197.80115	173.28967	124.97119	316.7365	98.49951	265.81888	114.06204	174.00928	172.563	122.70508	222.93849	114.16369	62.98851	136.36806	84.99116	311.61548	107.05542	309.44037	124.50052	57.503635	216.83316	139.3442	142.09656
G001439535	152.3887	224.99768	31.050192	33.56677	111.91908	176.48494	219.82094	26.62486	0.0	59.884407	72.21766	76.324295	39.50033	52.550022	149.91061	131.89597	91.64627	215.27072	255.88414	36.46485	286.2258	51.029182	51.547653	31.082254	93.32634	191.3769	27.212084	63.297287	146.09451	155.34354	53.96109	225.09511	11.196188	224.52032	74.79517	102.23942	103.22787	287.1968	76.47142	218.01462	211.5796	54.142162	19.1589	73.3615	68.38828	249.24469	114.597206	202.43918	136.31123	135.47545	295.3775	86.07486	240.43646	107.712074	168.45142	144.1732	154.60277	229.67665	147.94127	40.745117	108.76044	92.55572	288.92316	123.74948	287.33096	170.61572	84.959595	224.90187	149.76068	153.42052
G001304075	103.05188	201.90218	117.9188	81.79229	57.65278	263.17743	214.61551	40.54751	59.884407	0.0	151.36563	191.32767	43.06241	141.32614	276.69955	251.15852	73.87085	340.59772	221.71458	63.696316	419.23102	121.365974	139.08556	41.07878	188.57422	311.44257	40.70335	166.36058	72.362816	276.0085	137.39807	201.95169	65.72279	217.68945	30.564123	83.78797	49.941147	419.48993	59.079792	213.17853	208.16646	142.57898	94.663574	159.74849	93.515854	121.95908	59.343746	202.40164	276.84076	210.58647	428.16272	97.091675	376.81607	184.92657	262.5957	271.44946	59.972008	220.37695	51.74886	117.36216	228.71593	39.260475	421.7029	59.671677	419.75427	61.2738	21.66133	201.8545	103.93444	103.400406
