	G000006985	G000013045	G000243115	G000168715	G001644645	G900114995	G001829005	G900102545	G000419585	G001314545	G900089525	G900107765	G000015125	G000020465	G001439115	G000814475	G000515315	G900142605	G000724545	G900129315	G000020505	G001724695	G900116565	G001898485	G000379805	G001654455	G000373105	G900106985	G001975465	G000375425	G000016085	G900110995	G900115755	G001897525	G001302245	G900129465	G900101395	G001464625	G001975825	G000024005	G900110245	G000020645	G001899605	G000511175	G000024845	G900089575	G900156765	G001438265	G001567405	G000275825	G900110645	G900112615	G001650905	G001896965	G000246855	G900110835	G001623405	G000759025	G000020545	G000375465	G900089545	G000508085	G001898505	G900129015	G000374045	G900089555	G900094705	G001715195	G000374125	G000020625	G900109685	G000212735	G001829035	G001898405	G900119105	G001897535	G900089565	G001564065	G000012585	G900129295	G001601815	G000814325	G000974785
G000006985	0.0	174.00334	223.41637	54.381157	203.68367	201.03033	210.00354	195.53378	171.66196	174.23315	226.53178	210.94736	52.327667	55.369644	200.9236	206.00568	209.0641	184.24321	196.77742	183.40436	15.4727	208.00963	206.93216	213.00328	193.11137	217.54008	225.6175	203.97249	55.252	175.6598	56.583603	193.32205	215.29619	201.34813	201.35406	194.98405	225.47122	202.07788	191.53966	199.31758	208.52151	50.620758	195.08806	213.34691	157.04391	216.12361	201.6368	197.75772	208.05058	205.26953	213.39636	192.45683	178.56938	220.65611	201.49127	186.05107	208.6966	189.4095	57.61851	180.0126	218.35501	210.33118	197.91388	209.71313	202.34068	217.59488	195.48892	176.65825	227.63661	58.354992	192.80396	193.16206	207.97667	206.2097	194.3295	192.27873	223.98862	177.23586	57.541172	207.97574	207.56024	204.04187	196.61726
G000013045	174.00334	0.0	213.09592	185.40494	191.8755	193.8025	198.35165	195.86258	49.631577	137.13675	211.51938	214.12325	187.02777	185.51064	187.63895	197.75975	196.12228	185.38141	195.3037	140.38632	181.91454	203.74243	195.04926	204.61577	184.90019	220.01956	208.61182	197.47139	185.86325	145.02383	188.42169	185.69687	197.40614	187.21602	185.60751	183.25893	210.01341	203.13652	190.61337	195.14647	194.56923	185.97708	188.64902	200.88254	76.88792	206.16164	198.75298	189.65585	210.70448	200.2835	204.1071	187.85078	148.90054	217.82411	197.2873	189.08185	197.77914	187.41528	177.43228	143.7756	212.04324	200.4976	187.12148	199.83922	189.50565	208.35077	188.51375	141.69763	213.28078	173.67345	192.6167	197.43933	196.33104	201.82516	196.59344	189.17198	211.35469	143.48692	191.43974	199.98486	197.19833	194.73679	206.1058
G000243115	223.41637	213.09592	0.0	234.99992	65.27768	98.517006	82.92132	101.55559	200.91362	214.14304	103.39985	88.86522	214.74669	229.31639	129.9687	80.739716	80.71221	97.72924	143.46957	197.0465	230.73943	54.18702	108.48879	62.749344	138.96428	18.214434	169.52324	80.89335	238.08344	202.19267	240.60233	95.815125	83.2271	115.403175	75.784195	89.1439	21.54146	55.886166	101.4168	99.40699	76.606636	238.58664	72.13382	89.7215	195.55453	96.306625	80.715805	123.662224	163.66408	154.32536	158.69153	88.47417	209.15263	41.653145	72.70983	87.624695	79.71766	145.17787	235.8427	214.4824	100.95043	88.069725	72.66014	68.76602	79.02058	92.31583	82.920364	208.6573	22.378399	230.56555	96.16276	142.58955	82.5248	55.283237	99.35387	135.1328	97.40709	221.92957	227.88892	75.2857	76.19927	73.29307	76.2812
G000168715	54.381157	185.40494	234.99992	0.0	209.094	212.2757	219.02106	207.5753	187.08452	176.37975	238.71481	221.24321	45.365524	43.051964	208.5854	227.42477	217.32571	202.4306	210.67029	189.21844	56.75455	217.04083	217.79689	221.21326	210.72903	227.6432	228.95135	214.18188	4.4336805	188.82669	46.02811	205.4115	219.88316	198.5321	214.29845	201.96803	225.92589	214.36832	212.41022	210.84265	218.96399	26.710182	207.2626	220.09381	169.02217	238.14339	213.59462	207.43652	213.49113	218.97446	218.96661	203.88661	195.35457	249.82834	212.60092	199.71458	219.3186	201.80621	66.30526	196.58205	231.51872	222.57922	221.21555	210.35646	220.08954	228.0845	208.10515	176.45749	232.51012	59.400883	206.50713	213.29616	217.95537	216.20485	215.84659	205.83289	229.52422	185.56595	38.62171	222.59995	223.21288	217.71631	212.85255
G001644645	203.68367	191.8755	65.27768	209.094	0.0	83.356606	69.9598	80.292915	187.49963	186.92424	83.90035	81.6644	212.35495	214.9854	124.07772	65.47571	70.97817	83.583565	133.3342	209.47856	209.79146	51.28133	91.12818	58.812386	113.55345	64.30751	153.8492	70.511215	207.39966	180.55064	216.32726	91.259705	71.04566	100.35367	59.906254	79.072296	65.18922	54.084465	88.48633	84.27624	58.694893	221.67696	64.750015	79.45554	175.0135	85.43055	68.15632	123.3379	142.80865	138.79562	149.3374	86.23912	188.40108	68.203156	62.61096	85.587975	71.82143	123.59902	203.21196	175.31262	86.78885	73.98427	58.48624	39.492153	66.78035	85.75677	85.4058	195.89513	62.023487	205.37845	83.55805	142.18266	69.97775	54.921852	92.53999	117.61496	83.32958	209.68016	216.47723	34.930656	67.2539	61.42043	63.563187
G900114995	201.03033	193.8025	98.517006	212.2757	83.356606	0.0	90.27653	11.696345	183.4223	172.60635	100.08549	92.42548	216.35591	208.04701	114.459854	87.14371	84.24266	40.497707	133.05489	190.60144	211.20761	86.00931	89.95386	87.025696	128.78772	97.219406	145.29776	83.41398	214.99165	186.07591	223.75343	22.901302	83.9328	92.96938	78.73483	45.19721	97.69328	92.35107	22.778664	2.6908064	86.381996	214.41747	85.55414	93.7251	168.7093	96.64731	85.00973	115.11486	143.93655	134.89261	139.2959	25.365612	188.70311	106.109024	87.41735	38.67619	89.12051	120.30028	199.61292	197.05951	103.56972	90.52436	79.150505	84.91449	81.34283	95.63907	45.32485	188.10338	94.47722	193.86624	33.510986	127.18472	89.34895	83.74829	24.351429	117.4348	100.57651	185.60635	211.21136	96.10749	88.89681	91.78478	81.84771
G001829005	210.00354	198.35165	82.92132	219.02106	69.9598	90.27653	0.0	92.478516	193.61299	186.52525	66.15447	69.218605	222.06819	214.78296	126.42699	68.325615	35.085197	85.2755	126.546646	197.33536	213.53065	71.24394	94.17266	74.7655	135.90395	86.010544	158.81366	36.812042	223.04373	193.90508	221.78574	84.70806	59.54379	94.57024	66.66789	77.15618	81.443184	71.18774	93.256004	90.10169	70.93423	219.07405	63.983932	15.893298	182.43369	60.142868	55.87154	122.479065	153.88705	141.71463	147.15868	86.38035	191.40298	89.317604	67.72151	82.41156	49.025566	128.97359	217.4836	188.45268	64.682045	15.473707	66.5029	70.42117	60.038887	60.57281	83.27614	192.79466	83.20881	202.11789	83.22668	133.35863	0.1161977	68.96782	89.37399	118.33873	64.24077	197.51765	219.48994	75.49853	72.666885	70.13922	65.0528
G900102545	195.53378	195.86258	101.55559	207.5753	80.292915	11.696345	92.478516	0.0	185.59465	192.29059	101.71594	107.08344	211.2907	202.92673	104.53396	81.86322	87.573944	37.862473	126.003204	199.56418	209.1182	94.92841	86.412224	90.77224	121.699356	97.89395	139.46729	82.89787	212.41327	199.28572	208.08853	23.238956	87.59338	89.84047	78.39464	45.558296	96.87302	98.33841	24.705458	12.173964	85.10735	206.86478	81.13079	97.450485	172.21426	97.04784	88.988014	107.19663	130.04622	127.255325	131.65837	21.799149	203.67929	104.92252	81.80195	36.492447	88.07794	109.80402	191.4842	205.39711	101.50045	93.061966	75.24439	86.36237	85.57902	96.06715	43.955433	200.17438	100.33745	186.31752	30.96126	126.39184	91.71268	89.131294	22.577297	111.91422	105.59435	198.76945	206.17673	91.89287	90.793015	86.79322	80.83999
G000419585	171.66196	49.631577	200.91362	187.08452	187.49963	183.4223	193.61299	185.59465	0.0	132.7817	209.52632	209.29564	178.06606	185.68114	183.4995	191.03429	191.1016	182.83095	192.56334	142.83469	177.46515	188.66043	190.62321	201.57489	187.99178	210.02544	204.26772	191.33356	186.27095	140.87373	184.9085	175.19589	191.48038	188.17775	183.01659	180.60165	206.50565	201.52724	188.26775	182.92307	194.19594	189.69121	186.2988	195.34259	73.312996	209.50601	196.61398	183.94427	196.68219	193.70688	204.54237	176.16145	142.17744	207.68698	191.37582	187.84909	198.26135	180.49536	179.41605	142.78998	210.9854	197.8302	190.57962	189.20155	189.67406	205.73729	178.26556	138.97905	206.5591	175.7638	180.50165	189.82	192.03885	202.08153	195.57654	184.4484	208.46892	143.53172	182.92957	196.43188	200.55576	191.50894	205.01837
G001314545	174.23315	137.13675	214.14304	176.37975	186.92424	172.60635	186.52525	192.29059	132.7817	0.0	194.93898	192.19247	174.68869	175.56982	173.74904	180.0347	185.69827	170.17917	177.12961	86.56885	157.06248	196.35338	171.60654	199.33385	196.65932	214.08958	181.50748	190.2337	171.55235	86.17012	169.49463	173.2352	177.47661	176.57617	159.17967	176.12584	195.89499	193.06065	179.81172	174.35661	183.14127	184.31462	187.55717	192.58765	121.9915	193.32063	187.35664	172.15392	195.15405	192.22131	193.06152	181.83046	85.8115	205.78577	182.61095	177.70016	194.2644	175.5588	170.82823	83.58665	203.1307	194.45532	185.16808	191.4663	183.05583	203.00032	177.48108	83.29626	194.14848	164.17079	178.61516	177.69815	183.63689	214.8614	188.04222	173.9695	196.73477	88.43617	179.05937	190.89978	187.75401	193.50002	186.58762
G900089525	226.53178	211.51938	103.39985	238.71481	83.90035	100.08549	66.15447	101.71594	209.52632	194.93898	0.0	82.117325	232.77351	228.3678	142.25488	83.54397	59.974667	97.08542	140.33269	200.94717	223.4621	86.273964	106.46765	90.803406	147.08754	97.94784	167.72942	59.459637	238.27634	194.2622	236.37444	99.24786	70.63677	123.487366	81.386215	92.638916	99.18181	84.833115	104.394844	101.33466	83.786606	232.9469	83.71286	68.61564	193.78606	14.6904955	68.138084	143.05962	158.60358	156.02473	161.38167	100.33646	216.60823	101.94856	88.27211	99.37888	17.928717	136.8395	223.95238	212.57076	16.811821	65.9163	84.31786	80.87429	73.83775	21.209074	100.731255	202.11235	97.56771	220.62613	95.958954	149.16911	65.561485	85.02907	106.23372	136.48686	22.74046	207.09998	235.15643	89.58904	82.40436	90.500534	85.74331
G900107765	210.94736	214.12325	88.86522	221.24321	81.6644	92.42548	69.218605	107.08344	209.29564	192.19247	82.117325	0.0	223.97314	228.57823	132.24449	86.416405	66.66701	90.4322	137.85753	201.14346	212.67978	83.76762	105.222305	82.86252	145.7213	84.14261	163.45868	66.34397	222.90793	203.57465	233.49474	87.43647	59.812016	100.41987	78.62382	89.30241	99.04486	86.73544	105.78138	94.42602	78.61538	215.34822	79.874405	68.576935	193.14017	78.640594	52.2243	129.39885	139.7552	146.76573	155.26054	94.36016	212.09802	96.612175	79.91206	91.54487	72.247795	134.77592	224.33621	214.92046	77.4184	67.905975	73.63304	81.16931	65.1518	78.44252	87.31053	193.82649	95.79931	216.3703	91.57498	141.1435	68.39184	80.73106	108.16007	138.04025	81.296165	184.61348	227.92131	78.604034	84.23982	78.06078	75.80062
G000015125	52.327667	187.02777	214.74669	45.365524	212.35495	216.35591	222.06819	211.2907	178.06606	174.68869	232.77351	223.97314	0.0	31.829407	214.45567	201.82518	210.90317	206.76987	200.58072	170.65045	56.05027	216.02097	204.55736	223.31479	198.85054	217.43137	224.21822	202.57481	45.159927	182.80513	47.722816	207.7271	217.5043	220.69382	203.75795	206.63997	220.74251	213.61707	219.9399	209.03844	217.50488	38.557472	202.33463	213.93593	168.12602	232.3835	211.37256	213.00345	217.88951	212.8201	220.14616	202.93799	178.10976	223.62898	205.44127	207.30151	219.55794	214.7101	61.562397	183.18239	230.10622	216.79593	207.14159	209.91223	204.09544	228.8272	200.84601	181.29555	228.24503	59.951176	213.54938	214.772	220.55316	225.46318	223.31212	216.96547	230.92505	181.98447	50.55948	227.62456	198.90079	198.94388	206.14462
G000020465	55.369644	185.51064	229.31639	43.051964	214.9854	208.04701	214.78296	202.92673	185.68114	175.56982	228.3678	228.57823	31.829407	0.0	187.05766	208.72919	211.36377	195.46353	212.12779	183.61842	55.11683	206.68958	200.56755	212.86118	206.97449	224.97093	219.36102	209.12854	42.47008	178.5504	46.461697	197.23514	219.21687	198.80815	215.83624	184.73975	228.43788	213.67892	208.61455	202.88078	216.9783	45.73711	208.5857	209.355	173.66563	222.41365	216.79747	183.87128	224.81842	216.35455	215.95914	192.68613	186.65857	241.09224	214.34717	195.3981	209.39642	209.91081	62.000126	183.9705	221.07283	215.34149	210.65445	213.36159	200.3384	223.40013	192.01892	185.00284	227.08388	58.226063	196.11053	221.0297	213.5314	220.0772	210.83781	193.64124	222.21095	189.94669	49.38256	226.30855	205.07256	210.03914	217.06738
G001439115	200.9236	187.63895	129.9687	208.5854	124.07772	114.459854	126.42699	104.53396	183.4995	173.74904	142.25488	132.24449	214.45567	187.05766	0.0	121.76573	116.76048	106.41836	121.66716	182.932	200.45903	127.36825	114.438835	122.90645	114.02173	125.77661	134.59816	119.91637	211.67772	180.24156	201.29468	113.74381	119.26471	108.005104	112.9508	106.36363	142.16895	121.22798	108.67989	115.1077	113.115746	204.53867	119.94669	121.41752	172.77628	129.36166	113.5601	3.0711787	122.724075	125.378075	134.77615	104.642784	184.49948	152.67712	120.17069	107.47468	115.91246	113.31023	201.48264	180.1081	139.94104	126.79706	117.25635	121.26291	107.72682	132.8934	112.19052	176.93307	133.23218	189.4906	108.61122	118.47976	125.40586	131.63014	114.45755	87.143974	138.80711	187.33063	204.98529	123.32906	123.92482	114.068825	119.57901
G000814475	206.00568	197.75975	80.739716	227.42477	65.47571	87.14371	68.325615	81.86322	191.03429	180.0347	83.54397	86.416405	201.82518	208.72919	121.76573	0.0	65.1719	83.12746	138.64897	189.15086	202.33636	60.659763	92.55543	69.62864	133.47517	76.25999	139.7349	66.03695	224.3099	188.90872	219.02242	87.14826	70.17278	99.548676	54.27139	77.78207	69.78954	70.40251	95.29516	85.570755	58.020767	216.39288	64.86364	72.60224	182.1699	80.865524	67.36118	123.587006	146.09564	141.58186	152.14369	76.955734	200.91512	76.67842	55.216724	97.00622	77.19382	128.22414	202.45692	193.86856	82.67173	74.26089	54.872078	63.171364	58.035683	79.99403	84.2488	186.36691	78.56846	207.29976	81.74712	136.50383	68.31742	65.50791	81.88721	117.08387	86.82418	195.46852	212.80539	65.42162	32.40337	28.047035	32.593964
G000515315	209.0641	196.12228	80.71221	217.32571	70.97817	84.24266	35.085197	87.573944	191.1016	185.69827	59.974667	66.66701	210.90317	211.36377	116.76048	65.1719	0.0	78.188286	130.50308	192.81494	209.30159	65.401375	88.72618	72.44731	133.19662	84.10574	158.77705	4.2408843	218.04619	184.5126	220.52997	77.06954	54.91199	90.7768	61.025837	67.03002	78.58168	66.9781	85.28013	84.12114	66.772156	208.54303	64.37696	38.453136	181.2039	56.51474	49.645184	111.651924	150.97217	136.99579	142.48264	84.996025	198.31587	83.89957	66.742386	73.017975	48.246647	127.42265	218.50038	196.32207	56.82412	36.848183	61.490765	66.43448	53.248993	55.076294	76.93447	188.98839	75.44446	200.47635	78.19643	129.79	34.644566	62.610477	85.40559	122.57798	58.114994	192.47244	223.64795	73.17987	68.98431	67.3139	68.775055
G900142605	184.24321	185.38141	97.72924	202.4306	83.583565	40.497707	85.2755	37.862473	182.83095	170.17917	97.08542	90.4322	206.76987	195.46353	106.41836	83.12746	78.188286	0.0	125.35847	180.0489	196.75417	78.02187	81.02	79.39858	117.940506	103.321754	138.67163	80.66167	204.46167	184.73642	207.06714	34.3891	81.94689	92.80651	80.76942	39.633232	93.26166	80.85016	40.78308	41.39356	89.053734	196.72446	73.61332	91.902596	170.59637	89.6454	73.8779	103.7456	144.66301	133.01689	132.43825	37.794945	191.51465	90.446396	82.054474	17.893291	81.19464	114.31822	194.73637	187.70178	91.67615	86.146576	79.73421	73.81925	75.03463	92.46251	39.342545	188.9543	99.14502	197.98215	31.060507	119.8851	83.838135	84.676025	39.385006	108.991005	94.66595	176.9677	206.94705	85.01419	80.82411	81.69174	74.79912
