	G001805855	G000315095	G000242455	G000346315	G001828415	G001956985	G001825655	G001873045	G000165715	G001830285	G001464525	G001806055	G001804005	G000346505	G001707835	G001804205	G001824685	G000338295	G001828445	G001824635	G000304635	G001997385	G001824605	G001805845	G000153105	G001873945	G001642875	G001825635	G001642915	G001805775	G001805895	G000949635	G001999965	G001804165	G001871815	G001778315	G001806075	G001803975	G001730085	G000186345	G001872105	G001027925	G000171775	G001610895	G001805365	G001871865	G001828265	G001874025	G001804305	G001804125	G000284115	G001642955	G001828635	G000181475	G001805375	G000025185	G000195185	G001804445	G001303695	G001302825	G000255655	G000092105	G001828535	G001804045	G001303465	G001805765	G001872775	G001603075	G000330745	G001804105	G001304275	G001830315	G001828545	G001805805	G000255705	G001828645	G001804055	G001723765	G001804155	G001804395	G001825715	G001805575	G001804255	G000296795	G001824645	G001828345	G001804225	G001805605	G001804065	G001825665	G001805565
G001805855	0.0	206.65717	225.39545	258.8856	201.64517	227.46997	211.92708	141.69316	234.26125	211.79063	234.8427	126.09809	178.47519	259.82214	226.23293	164.67902	246.20604	260.32642	208.59547	229.58629	259.3889	229.24118	205.29579	127.62843	223.62593	189.71231	260.38028	212.14738	242.68695	129.90773	134.28273	203.3666	229.00897	156.21996	144.97537	206.29816	128.27155	142.20436	198.2083	226.23648	176.53311	252.98236	233.22246	225.21457	149.73375	193.94925	230.73947	167.06702	147.12396	143.83736	246.07785	255.38611	207.22932	235.24413	78.8986	227.8806	254.97893	123.61623	211.16385	202.28032	215.93178	227.48654	208.3606	155.68246	238.81743	125.80537	141.46729	236.17477	257.6452	179.41484	240.43732	206.09193	206.34944	141.55301	219.41261	209.18588	165.52539	210.45268	178.35698	59.266567	209.50633	131.56651	148.35663	216.2353	223.61331	242.86598	180.27757	129.30273	149.82407	223.9061	49.676956
G000315095	206.65717	0.0	178.48431	219.8516	111.39575	186.3949	54.684128	182.79723	178.65463	54.754665	189.30942	173.67703	192.73921	206.06221	186.30016	192.89578	201.88646	216.75461	157.3699	185.2065	213.15889	205.17996	84.429085	187.75566	186.17496	185.96667	210.45985	57.177193	208.2382	188.0869	196.2964	47.739296	192.82527	203.52733	189.52005	191.9852	191.15187	188.69022	205.06143	185.36354	190.68445	216.97974	191.8811	182.94676	190.07103	196.69939	185.45819	177.18582	188.63615	182.47342	209.85039	218.67674	54.193302	190.36368	208.37921	186.46716	216.56966	188.75948	177.19398	137.42966	184.49481	193.25122	54.93323	188.762	202.39714	192.10342	177.3133	192.11728	212.15149	205.61969	207.89256	54.56814	105.61997	189.34076	187.33179	55.490967	193.81013	86.10898	171.06656	216.91931	186.17593	197.22319	189.12938	54.412697	200.68567	188.2822	204.18684	187.30075	188.67577	174.25346	204.7245
G000242455	225.39545	178.48431	0.0	164.2775	178.35077	49.602966	184.7994	200.8261	132.6642	177.68387	141.63507	202.8624	204.319	162.37424	138.32243	197.85243	184.07768	166.19109	181.78098	177.47554	165.23897	192.70966	179.817	199.92635	139.91788	193.10194	161.44406	190.75383	159.1323	198.46834	212.67383	175.05444	183.41751	200.57228	196.22287	205.61562	194.08347	198.00024	217.9026	74.94194	205.20103	157.06776	126.04956	53.826027	201.41255	207.84271	130.76044	197.7767	202.33302	194.49324	202.7158	160.32515	184.31586	137.52394	204.87141	134.34082	169.54346	198.9717	168.4372	171.12836	131.3092	143.55743	180.26366	219.21732	184.98749	204.67383	193.36806	197.27853	162.96547	208.97852	186.10385	185.3712	177.46672	185.74516	121.80099	182.6762	196.67986	166.54291	201.32248	217.07207	176.8558	203.80933	201.04077	180.32993	182.95068	182.84158	204.61931	198.81706	201.15022	178.55238	230.10052
G000346315	258.8856	219.8516	164.2775	0.0	214.22589	167.548	226.15309	236.2707	155.71718	219.78851	123.88393	241.93495	249.39374	37.814327	157.37993	234.57358	229.62216	3.7527773	219.39366	222.36234	5.160276	233.55823	219.71172	241.76591	112.32821	223.33543	108.39508	230.34642	65.55375	241.98047	251.45486	218.79378	225.39832	243.17648	237.07224	234.64769	231.346	233.9726	254.12543	173.42351	249.5945	9.107223	173.96155	174.20058	238.70807	254.9856	129.4438	239.74026	235.76225	232.89369	232.81062	62.31626	224.11824	160.15164	247.89151	112.203575	5.1027303	231.06142	210.62921	207.9446	151.15364	155.86343	223.23972	260.01685	230.57167	239.69685	237.9454	224.58551	5.3569283	247.15904	225.0716	227.78519	214.3283	231.35225	173.18951	224.01152	235.76198	214.32098	243.9751	253.38522	223.27245	243.3717	237.7539	221.25964	221.30898	225.68086	245.89868	242.91377	235.65862	222.26222	259.3849
G001828415	201.64517	111.39575	178.35077	214.22589	0.0	178.2345	112.90112	184.84666	184.14278	110.48576	185.52962	186.27995	195.33737	213.1785	186.09686	184.11774	204.72704	211.56976	155.83617	188.33223	212.64114	199.26076	106.297035	188.20433	185.40393	180.12834	204.7926	114.07414	200.17639	188.02002	199.3185	106.334145	191.39761	192.12915	189.21812	189.72615	182.83195	184.7861	202.85863	182.0934	197.14749	211.15656	185.03362	181.7507	188.1558	197.03099	188.52478	190.0924	187.05934	185.31851	203.39342	212.59932	109.096504	181.6477	198.7865	186.37636	214.67865	183.23056	172.70375	138.13959	180.98416	186.06017	108.72147	200.26646	192.90463	186.1027	182.84001	191.0215	210.20663	198.5034	190.3628	113.7001	6.329698	180.15746	185.37238	112.0963	184.79875	102.304924	194.44826	193.15625	187.37894	187.55711	187.96292	110.85031	188.95068	191.17827	198.31392	187.51517	188.45064	189.01845	207.7277
G001956985	227.46997	186.3949	49.602966	167.548	178.2345	0.0	185.20346	199.14163	143.87292	183.26773	140.17822	203.58913	202.50374	167.59055	142.31856	197.18828	219.17456	166.41943	189.6399	179.03966	169.08261	189.64291	176.0662	207.3609	137.54202	186.9835	155.55466	187.28848	154.85721	205.84789	215.28113	180.02432	181.38596	203.62347	197.53676	202.31642	197.60724	198.00026	218.23138	77.27117	204.882	167.81033	126.80275	28.014256	202.94565	214.22957	139.83914	200.60349	203.52873	195.22614	198.53955	164.80394	180.39635	141.61969	216.69812	141.27951	170.59854	201.3406	176.88023	175.8508	133.43797	140.01228	180.75397	221.63425	189.60983	195.44873	196.92947	173.68393	167.08514	210.00858	186.39444	185.24274	178.9962	191.66399	126.46212	186.45909	195.7491	170.57988	202.26448	210.07771	182.84947	204.23318	201.41693	186.17253	183.23686	181.52234	209.75645	207.12892	201.72557	185.88272	221.91632
G001825655	211.92708	54.684128	184.7994	226.15309	112.90112	185.20346	0.0	186.48264	191.33015	41.033825	199.32446	194.78355	196.20703	222.07246	188.29517	188.92256	219.80466	222.58481	155.15009	193.92989	218.90187	207.50676	98.59104	192.92964	192.44412	187.34625	210.74834	6.7518716	205.06944	193.52254	202.11327	34.398872	195.86948	197.10146	193.81549	193.9192	189.30656	183.6982	203.2009	189.42317	199.99377	223.87668	194.16008	191.3729	197.92194	203.92624	186.148	197.01141	195.2521	193.71176	216.3793	218.75769	32.564857	194.4327	209.13231	192.41049	220.89545	186.48575	179.6379	140.85396	184.83339	189.67558	32.839043	206.99982	198.11606	191.4133	189.50774	198.56909	218.11552	204.91774	200.92244	5.3245325	111.02004	188.1023	193.27289	34.70461	192.61093	86.24342	195.368	211.235	190.713	194.44557	194.14905	38.292236	193.85002	202.57114	206.83864	192.60728	196.53801	189.53064	216.94243
G001873045	141.69316	182.79723	200.8261	236.2707	184.84666	199.14163	186.48264	0.0	207.89818	188.56128	204.80354	126.424866	160.04703	235.62082	210.35333	146.80646	229.10518	233.38829	192.26611	204.47244	234.9165	219.19743	190.1598	128.38544	210.44173	168.21986	226.6683	189.04149	222.97807	129.9978	139.04689	183.34682	208.80225	118.45821	114.29069	176.77306	123.215195	111.5488	183.8546	205.60675	147.65096	238.9345	207.77332	206.9155	119.090576	174.58932	206.25095	136.9874	116.57953	134.67448	223.76566	234.60422	192.76486	203.06741	138.2844	213.08447	231.33397	121.9904	191.97351	181.55078	200.47203	205.6533	192.18181	129.61421	214.79471	124.502495	112.875	211.17516	229.79076	162.48894	210.90346	189.81268	183.07741	107.17264	203.93147	199.58263	145.8332	184.23811	148.04152	140.08835	219.90808	126.358864	116.055	179.66719	202.53015	218.1253	160.31184	126.59059	117.30683	206.72162	146.16618
G000165715	234.26125	178.65463	132.6642	155.71718	184.14278	143.87292	191.33015	207.89818	0.0	182.40417	129.30637	208.98543	212.44069	154.7185	96.21884	203.72122	200.18268	154.78445	189.0167	199.58266	158.39224	197.30399	191.76492	211.2854	128.24422	203.58083	141.49306	187.72154	135.01143	211.32614	220.13388	194.58496	194.34702	218.54163	206.33977	213.09103	203.606	204.63727	218.90521	145.38683	223.47731	157.93861	147.59517	146.92427	207.34319	220.23245	137.70216	216.46466	207.0364	209.66475	204.04984	163.64449	192.22867	82.55291	212.98943	128.62944	158.71272	206.15591	179.29	180.82457	85.49325	92.84891	190.16565	225.66058	195.35005	211.21696	206.7061	191.71762	154.2771	217.08598	196.52916	188.54161	186.37064	201.38716	143.64522	188.07896	202.2107	180.93767	208.19017	230.10951	196.77141	212.90083	207.62848	191.57037	186.24582	188.84027	212.586	213.06963	210.04398	199.37917	230.36464
G001830285	211.79063	54.754665	177.68387	219.78851	110.48576	183.26773	41.033825	188.56128	182.40417	0.0	185.31322	197.9219	196.30309	223.00276	194.2945	192.55275	201.71242	215.60883	162.3635	196.06126	217.75652	202.37677	93.19683	193.1527	199.45914	185.52008	221.12941	46.277927	206.07573	196.97018	210.80042	41.792927	192.35216	195.73912	186.59724	191.12973	189.02086	181.74045	217.0607	186.64502	198.02628	213.7196	196.00017	193.11485	195.56937	209.00798	198.54576	197.20674	197.20064	180.37695	214.98322	219.83955	42.895725	184.0788	214.27109	191.49002	220.34506	184.65381	173.21205	142.6515	182.57443	198.38126	43.962746	215.97284	206.00145	189.93333	180.70325	196.54793	216.68375	208.32617	206.54955	42.56197	108.92813	173.70303	197.10953	46.287136	195.41959	84.09661	191.96579	203.7841	186.06233	202.62746	196.77731	42.787243	205.84473	200.89449	206.25539	195.22763	197.06006	171.8985	206.07755
