	G001007025	G000091085	G001796065	G000583875	G001796105	G000237205	G001897225	G000454725	G000204135	G001007145	G000011565	G000092785	G001007105	G000204175	G001796285	G001625535	G000470765	G000471025	G001625515	G001796175	G001007065	G001007125	G001714585	G000700845	G001401475	G000700905	G001736045	G000270425	G000687415	G000516655	G001736055	G001466415	G000508025	G000007605	G000508005	G000270405	G000191925	G000493885	G000756735	G000700865	G000700925	G001401455	G000024145	G000298495	G000270445	G001618265	G000009945	G000508065	G001794895	G000830965	G000750955	G001794905	G000298455	G000298515	G001794865	G001794935	G000068585	G000317995	G001401485	G001545115	G000253035	G001499655	G000298555	G000298415	G000298435	G000829755	G001563055	G000011165	G000338695	G001796275	G000211155	G000415685	G000415565	G001714565	G001007085	G000007205	G000174995	G001796185	G001796255	G000008725	G002007725	G000417695	G001714575	G000298375	G000751535	G001796095	G000470805	G000687395	G000813665	G001464115	G000270385	G000470825	G001796235	G000008745	G000417845
G001007025	0.0	0.008346083	255.9067	42.800156	253.61696	72.17506	57.555332	24.584608	12.6811075	4.4422875e-05	127.64393	107.701225	3.485441e-05	18.071657	94.47809	12.469297	12.875198	32.49541	12.79317	242.75902	0.0004646603	0.004961012	18.018198	12.097825	18.301645	12.095122	17.771717	17.816996	17.77189	0.12650461	18.094936	12.674615	13.00618	13.671464	13.032804	17.803549	18.057106	21.977493	172.32358	12.097825	12.097719	18.1505	0.11288584	19.733383	17.82256	108.757774	13.040193	12.7553625	94.00221	12.10704	107.06057	192.58089	18.348742	17.901716	93.97355	245.3927	12.01561	18.18832	18.196028	97.33408	72.21456	89.930305	18.292488	17.505665	18.187922	57.170635	18.156895	0.007294589	17.774529	245.47174	18.346867	17.752108	18.067457	17.909815	0.0003633018	0.0057892017	12.166499	250.89038	93.73734	11.836641	32.44684	23.171871	18.15257	18.110497	93.092125	246.40056	12.77478	18.063906	68.006996	163.59447	17.853405	12.665732	94.43981	0.0015494429	15.262466
G000091085	0.008346083	0.0	256.0807	42.721375	253.78783	72.15128	57.496983	24.49951	12.663025	0.008363889	127.563995	107.6886	0.008368121	18.0023	94.49311	12.447195	12.854089	32.423244	12.7783375	242.92139	0.007996258	0.0039004164	17.949085	12.058477	18.234867	12.055763	17.702923	17.748451	17.703289	0.13292049	18.02562	12.656036	12.985794	13.627126	13.012607	17.73513	17.987652	21.954752	172.23781	12.058477	12.058365	18.084885	0.11964244	19.669825	17.754177	108.74998	12.97692	12.735886	94.0168	12.067957	107.06722	192.5735	18.281685	17.834007	93.98801	245.4893	12.0099535	18.120737	18.130112	97.339485	72.13245	89.918335	18.225876	17.436365	18.120543	57.12277	18.088348	0.008261843	17.708895	245.6365	18.27938	17.68287	17.998096	17.84129	0.007935722	0.009389382	12.12735	251.06044	93.751564	11.82815	32.372257	23.064398	18.083712	18.041231	93.08024	246.57175	12.755437	17.994509	67.98894	163.65813	17.785076	12.647196	94.45409	0.0067662783	15.181089
G001796065	255.9067	256.0807	0.0	440.65625	0.37443128	124.6969	283.198	366.37747	238.03076	255.90779	409.0474	91.59223	255.90822	349.40082	72.18097	237.95708	236.76288	398.05658	235.61209	0.57440746	255.9267	256.1007	348.70352	238.29865	350.5852	238.29715	347.81003	347.9566	347.7281	258.94864	349.4029	238.3235	236.09879	328.1369	236.04897	347.99524	349.16605	180.11934	507.32672	238.29865	238.29782	349.46222	258.02975	359.1456	347.95944	90.14785	317.01016	237.03375	72.728096	237.69308	226.2911	57.87067	350.8251	348.47867	72.71976	20.750595	212.94043	349.96194	349.9523	142.88597	222.30327	127.01981	350.55264	346.98718	349.88644	251.88635	349.71713	255.69861	348.39124	0.36166936	350.8261	347.25726	349.1536	348.19077	255.96008	256.379	239.79921	0.2643566	72.96263	213.63936	397.8797	345.93127	349.55023	349.5354	121.4117	0.37615323	237.1935	349.13812	306.0493	32.7174	348.15652	236.91599	72.256714	255.90614	325.18817
G000583875	42.800156	42.721375	440.65625	0.0	438.09207	151.44394	58.89407	9.879704	61.458393	42.799297	85.24103	204.20947	42.798016	14.487634	203.09773	60.791534	62.12549	3.0984237	61.926983	422.43826	42.797707	42.77082	14.502287	44.83319	13.546304	44.831367	14.694605	14.740088	14.81615	41.598713	14.383513	61.400654	62.39543	17.6191	62.296276	14.721609	14.514217	78.555084	101.828545	44.83319	44.833954	14.180377	41.9767	12.234114	14.738207	206.40799	17.841597	61.950897	202.26732	45.148792	137.34804	321.25522	14.071739	14.643553	202.24886	415.4705	61.396027	14.306284	14.161713	158.15605	96.26412	163.12607	13.590831	14.715765	14.331504	70.46886	14.265016	42.829575	14.736021	426.3793	14.038721	14.82136	14.48815	14.499276	42.783627	42.57116	44.337154	433.22128	201.86366	61.147808	3.0714967	13.998225	14.379178	14.566504	169.83241	428.02316	61.933857	14.530612	66.18647	316.8759	14.644224	61.772594	202.98961	42.812748	18.816534
G001796105	253.61696	253.78783	0.37443128	438.09207	0.0	123.51823	281.21762	363.994	235.99422	253.6184	406.8797	90.79654	253.61864	346.87698	71.34097	235.89455	234.73041	395.59918	233.58186	0.6206151	253.63913	253.80849	346.18427	236.61188	348.08157	236.61057	345.3021	345.4427	345.2169	256.62753	346.88046	236.28421	234.08035	325.66003	234.02068	345.48358	346.64484	178.76031	504.84653	236.61188	236.61108	346.96738	255.70386	356.59683	345.44473	89.3598	314.59845	234.99124	71.88502	236.01541	224.30856	58.331142	348.30658	345.96152	71.87428	20.812582	211.35753	347.4537	347.4474	141.80614	220.76744	125.73839	348.0486	344.47104	347.37946	249.92625	347.1986	253.4147	345.8853	0.45305148	348.29846	344.74112	346.6292	345.68683	253.67188	254.08885	238.09015	0.3673868	72.11898	212.04233	395.40222	343.5916	347.03046	347.00836	120.1916	0.42121196	235.15701	346.6163	303.58408	32.372192	345.64087	234.86482	71.41307	253.61598	322.7433
G000237205	72.17506	72.15128	124.6969	151.44394	123.51823	0.0	57.56733	111.926025	81.00846	72.17745	123.79005	16.439463	72.175476	107.18229	17.70883	80.23159	80.283005	128.21895	79.58872	113.302574	72.20244	72.26581	106.76537	57.53787	107.51496	57.538586	106.53562	106.604935	106.622734	73.250374	107.04352	81.176956	80.16321	101.03107	80.12737	106.63237	107.05189	41.455597	187.60936	57.53787	57.537838	107.24543	72.93716	111.993774	106.604614	16.859318	92.05794	80.45964	17.408659	57.42691	57.276764	63.51329	107.99894	106.82045	17.432734	96.44505	57.931255	107.49505	107.39884	31.918196	28.89933	16.32516	107.51569	106.338356	107.46664	43.98284	107.25381	72.05037	107.47209	116.17823	107.748184	106.153465	106.96793	106.441284	72.210526	72.27944	58.089348	119.69242	17.34243	58.132328	128.15149	101.13161	107.165565	107.305885	16.56219	117.30879	80.72842	107.06969	86.18002	64.48564	106.69696	80.32819	17.715008	72.187675	95.28222
G001897225	57.555332	57.496983	283.198	58.89407	281.21762	57.56733	0.0	49.669086	76.253174	57.55936	26.564205	87.42227	57.55542	53.45128	96.609886	75.16483	76.22015	49.03119	75.64211	266.8955	57.580627	57.61411	53.122124	45.038834	52.61459	45.04083	53.359127	53.48461	53.59823	57.313206	53.16183	76.33936	76.47793	52.38793	76.29267	53.485573	53.379143	55.632393	54.620632	45.038834	45.039608	53.164513	57.26906	53.490337	53.476295	88.97461	46.667744	76.30002	95.95688	45.30658	33.465755	181.081	53.578453	53.55611	95.99012	248.49226	61.880524	53.49689	53.272434	52.722683	13.995666	53.78811	52.71461	53.492283	53.575443	8.935249	53.15537	57.449482	54.46879	270.5158	53.16682	53.2691	53.274235	52.91384	57.570896	57.434532	44.931572	275.7217	95.727165	61.964836	49.00824	46.536053	53.23416	53.75174	58.306946	272.2184	76.53363	53.40302	23.059446	194.20006	53.389282	76.06567	96.51996	57.57102	50.92622
G000454725	24.584608	24.49951	366.37747	9.879704	363.994	111.926025	49.669086	0.0	42.86872	24.582952	91.7948	156.6427	24.582863	6.2689147	152.27309	42.35166	43.30918	7.0076194	43.197365	349.46472	24.58707	24.55917	6.2429686	24.092007	6.005162	24.090767	6.3672085	6.368413	6.3935323	23.875877	6.2273493	42.849804	43.54862	8.882476	43.492104	6.360442	6.2716684	48.74783	118.17332	24.092007	24.092194	6.1997333	24.12367	5.7593575	6.3739676	158.48097	7.6203914	43.137688	151.55124	24.325317	122.73375	257.86777	6.2225204	6.33601	151.52867	342.28824	33.929173	6.2380004	6.1688986	124.93147	76.48061	122.5329	6.017275	6.391269	6.2281966	54.80101	6.2314887	24.57104	6.469045	353.34274	6.2192106	6.322674	6.2519183	6.242361	24.57952	24.45257	23.939718	359.71298	151.17017	33.68603	6.9154873	2.575839	6.240979	6.309299	127.84674	354.9531	43.25192	6.264422	58.645824	248.33429	6.344333	43.026894	152.20067	24.598715	8.364279
G000204135	12.6811075	12.663025	238.03076	61.458393	235.99422	81.00846	76.253174	42.86872	0.0	12.677416	154.04916	111.03548	12.676391	32.198284	93.42795	0.10727975	0.118555956	47.062435	0.12479588	226.29214	12.664117	12.670979	32.123394	16.279669	32.60638	16.279985	31.715342	31.789598	31.680204	12.849861	32.2346	0.0022008007	0.08836871	24.19707	0.09500661	31.78499	32.149803	19.743193	200.5578	16.279669	16.279358	32.310658	12.796261	34.337032	31.796621	112.09577	22.8669	0.045452144	93.078636	16.193476	116.01282	191.615	32.534508	31.927464	93.03639	236.19228	15.123119	32.48104	32.492935	103.37731	86.06	100.10039	32.603786	31.48764	32.491837	73.37657	32.25943	12.635237	31.7217	228.57639	32.548172	31.738262	32.173656	32.02934	12.671617	12.683374	16.356155	233.72676	92.82904	15.098043	46.914753	39.03739	32.29069	32.252155	102.54965	229.14093	0.06550613	32.145123	77.47944	155.29213	31.846308	0.05874622	93.35475	12.672552	27.27707
G001007145	4.4422875e-05	0.008363889	255.90779	42.799297	253.6184	72.17745	57.55936	24.582952	12.677416	0.0	127.647896	107.705124	2.1013158e-05	18.070786	94.48217	12.465488	12.871276	32.49474	12.7892885	242.76047	0.0004857971	0.0049090353	18.017252	12.095343	18.300888	12.092636	17.770893	17.81617	17.771034	0.12665161	18.094084	12.670928	13.002663	13.671516	13.029269	17.802692	18.056234	21.97591	172.32881	12.095343	12.095228	18.149824	0.11291973	19.732807	17.821674	108.76183	13.039423	12.751745	94.00607	12.104548	107.062935	192.5842	18.348022	17.900848	93.977486	245.39949	12.014054	18.18753	18.195337	97.33796	72.21967	89.93347	18.29177	17.505165	18.187199	57.17358	18.156115	0.007287904	17.77368	245.47359	18.346193	17.751308	18.066574	17.90898	0.0003986289	0.005802201	12.164004	250.89177	93.74131	11.835169	32.44617	23.171007	18.15175	18.10958	93.09559	246.40193	12.771268	18.063011	68.008446	163.59602	17.852575	12.662118	94.44382	0.001559074	15.261728
