	G000298555	G001796065	G000270385	G000508065	G001401485	G001796285	G001794895	G001618265	G001625515	G000471025	G000687415	G000024145	G000700905	G000298455	G000493885	G000415685	G000008725	G000687395	G000204175	G000270405	G000700865	G001545115	G000068585	G001007065	G001464115	G000756735	G001736045	G001007125	G000417845	G000298375	G000508025	G001007085	G000338695	G000829755	G001499655	G000174995	G000270425	G000007205	G001466415	G001796095	G001007145	G001794865	G002007725	G000317995	G001714575	G000253035	G000516655	G001401475	G000007605	G001714565	G001796105	G000751535	G000091085	G000211155	G000298515	G001007025	G001714585	G000009945	G000470805	G000204135	G000011565	G000700845	G000191925	G000583875	G000298415	G001007105	G000700925	G000417695	G000008745	G001401455	G000470765	G000011165	G001796275	G000813665	G000092785	G000415565	G001796185	G000298435	G001796255	G001736055	G001794935	G000750955	G000298495	G001625535	G000830965	G001794905	G001796175	G000237205	G000470825	G001897225	G000270445	G001796235	G001563055	G000508005	G000454725
G000298555	0.0	172.15837	0.52436614	45.032482	0.7753884	161.61378	161.64638	155.81024	45.010426	28.361635	0.5443183	41.744534	52.795597	0.5308426	56.000374	0.488284	50.976242	0.54103065	0.5651897	0.513602	52.7981	151.4923	50.394817	43.484764	146.21974	160.99257	0.4994812	43.265877	3.0036643	0.5626707	45.737698	43.495903	0.6370606	151.78232	160.4813	53.791748	0.51797795	42.946472	45.217766	166.749	43.572186	161.53171	28.390202	0.7762876	0.50268596	164.77805	41.22252	0.0031799916	12.314902	0.49716905	166.35634	161.96732	42.897236	0.48023838	0.4500593	43.579647	0.5176356	12.970995	44.656208	45.274124	163.70636	52.7981	0.54632175	27.094591	0.7870227	43.571777	52.798378	33.89823	43.529495	0.83377135	44.85962	43.08182	160.19374	158.81474	153.2518	0.4962112	168.97841	0.7747874	161.55217	0.49180108	147.9494	156.46857	1.0600026	44.276005	52.82644	161.06143	159.41154	163.5016	44.738125	155.85439	0.5115203	161.61864	0.48826683	45.848785	33.900265
G001796065	172.15837	0.0	174.58263	178.48375	173.28804	121.14454	121.16001	132.17503	175.38385	174.7602	174.83604	174.54163	170.13202	174.62126	161.92245	173.80888	172.48108	174.74257	175.5094	174.4122	170.15057	141.47075	171.38196	176.16843	82.81617	133.7958	174.01068	176.2875	168.17955	176.06717	178.9391	176.15273	178.27815	138.96793	139.11609	171.1393	174.48477	176.24625	178.71591	2.6494727	176.11395	121.17876	174.58778	174.11876	174.13554	151.34543	175.29971	171.91313	180.0145	173.99704	2.0418499	137.95602	176.26797	174.04938	175.4726	176.13245	173.79749	181.23022	178.74918	178.46594	136.98784	170.15057	174.96709	181.29639	174.53691	176.1205	170.15057	177.41823	176.21344	172.58153	177.55939	175.37418	1.5351244	134.94748	131.92671	174.16766	1.2992461	174.43336	121.19094	174.06833	104.07089	130.03897	175.46011	175.74051	170.1412	161.18718	2.2120416	128.36325	177.71173	138.80832	174.29778	121.21248	173.93631	178.05319	177.35739
G000270385	0.52436614	174.58263	0.0	45.95315	0.74407274	162.29977	162.3312	159.00134	45.904472	30.372915	0.03510034	43.246086	54.38547	0.5088115	56.792652	0.026813421	52.246887	0.05008753	0.031939108	0.013619539	54.386333	154.76996	51.675304	45.052837	147.8206	164.13106	0.01492194	44.777794	2.651415	0.0660926	46.63173	45.064617	0.5638092	154.61035	163.46117	55.403442	0.014373581	44.496635	46.127953	169.07301	45.14299	162.2167	30.40929	0.62724984	0.014983725	168.3431	42.729397	0.5257486	13.456656	0.018888917	168.79094	164.92595	44.416668	0.016126549	0.2136037	45.1505	0.021293893	14.160803	45.594532	46.19384	168.19817	54.386333	0.03622556	29.742886	0.61694247	45.142178	54.386597	36.389782	45.096115	0.8721216	45.630394	44.57304	162.60815	161.77017	156.3769	0.020237878	171.44339	0.6678369	162.23674	0.020438021	149.62477	158.024	1.424505	45.219513	54.414997	163.13017	161.78946	166.23686	45.655598	158.84163	0.015454799	162.30368	0.019047717	46.724476	36.39345
G000508065	45.032482	178.48375	45.95315	0.0	45.474487	162.53714	162.61511	162.85	0.5418308	47.928673	45.687218	37.46952	59.326225	44.725655	56.915485	45.514362	59.043125	45.718662	45.88052	45.856644	59.34591	172.06656	59.11422	37.758293	158.40698	182.49438	45.614613	37.65295	39.467743	46.290627	0.1936148	37.787067	46.254025	169.49129	181.3825	59.99798	45.927555	37.57312	0.19739261	168.29852	37.840973	162.45654	47.57965	45.986763	45.651447	171.43385	37.327995	44.97077	43.28233	45.599045	173.48305	182.58528	37.53271	45.625187	45.571514	37.84861	45.737835	43.765	0.17843522	0.1743012	183.20743	59.34591	45.726772	52.10896	45.659157	37.837257	59.346252	52.124878	37.801044	44.993736	0.57941467	37.337616	166.72926	155.94548	160.66364	45.655056	176.15738	46.00035	162.44824	45.568203	176.52457	166.35176	44.843315	0.51486474	59.34826	192.5368	167.20363	160.35565	0.13898481	166.58049	45.84242	162.5304	45.55641	0.22468047	52.11386
G001401485	0.7753884	173.28804	0.74407274	45.474487	0.0	163.90364	163.93884	158.60002	45.34643	29.213991	0.7274697	42.194252	53.568268	0.49712542	56.35442	0.68908954	51.327564	0.71363014	0.73441845	0.7433218	53.57557	156.77306	50.787495	43.860355	147.46222	165.13441	0.7064827	43.607113	3.179097	0.7787607	46.2031	43.87384	0.71862984	157.97855	165.93047	54.62582	0.75485307	43.30599	45.614883	168.11858	43.94313	163.82005	29.25975	0.06615242	0.7067217	169.43239	41.68415	0.7707306	13.182263	0.6948401	167.73705	167.3444	43.249832	0.6765164	0.510994	43.951534	0.71693414	13.47682	45.173492	45.66447	168.70692	53.57557	0.73004067	28.35547	0.8680644	43.944054	53.575653	34.804337	43.900356	0.03812392	45.147293	43.454563	161.57603	163.77632	156.08182	0.6961663	170.2574	0.035313327	163.84526	0.71006674	149.83844	160.57613	1.6326582	44.59679	53.59816	159.81985	160.70805	166.01753	45.253635	159.78674	0.7376348	163.91008	0.68549097	46.378845	34.805367
G001796285	161.61378	121.14454	162.29977	162.53714	163.90364	0.0	0.00070495467	138.4977	159.70367	167.5429	162.39525	160.69847	150.83694	165.16125	130.7033	160.97765	158.69872	162.10092	163.63574	161.76083	150.82152	152.21628	158.53642	161.39766	97.71825	130.46938	161.63614	161.03711	149.16891	164.10991	162.00285	161.39066	169.75534	96.97823	118.69679	151.7959	161.81567	161.01167	163.25243	102.81295	161.41562	0.00086534274	167.64774	164.72957	161.80852	104.75369	162.09944	161.23886	184.06699	161.41196	117.92368	116.31272	160.95973	161.68835	163.9608	161.4002	161.18091	169.18796	162.95302	162.97823	156.42436	150.82152	162.58295	186.39644	162.33858	161.40063	150.8206	155.37126	161.41106	163.39375	161.43135	159.70493	104.868805	124.62773	136.41705	161.59155	107.66695	165.06264	0.00088340155	161.50757	54.3562	126.2433	168.65428	160.5102	150.77617	141.79167	99.92557	85.81138	161.04431	94.07018	161.54532	0.0007279786	161.2944	160.84691	155.29282
G001794895	161.64638	121.16001	162.3312	162.61511	163.93884	0.00070495467	0.0	138.46597	159.77792	167.59741	162.42664	160.7493	150.87712	165.1921	130.75586	161.00911	158.74817	162.13217	163.66664	161.79195	150.8615	152.16151	158.58656	161.44989	97.690834	130.47844	161.66757	161.0892	149.20445	164.13884	162.08084	161.44315	169.78479	96.924385	118.631226	151.83632	161.84683	161.06378	163.33192	102.82309	161.46799	0.0010611392	167.70158	164.7646	161.83978	104.69828	162.1497	161.27188	184.0989	161.4433	117.931946	116.24767	161.01173	161.72008	163.99106	161.45253	161.2122	169.2285	163.03159	163.05753	156.38004	150.8615	162.61426	186.45197	162.37027	161.45303	150.86058	155.4461	161.4637	163.42989	161.50583	159.75627	104.87807	124.61834	136.38652	161.62253	107.675156	165.09688	0.0011409651	161.53867	54.325714	126.21352	168.6908	160.5833	150.81602	141.81964	99.93312	85.76375	161.12248	94.04233	161.57661	0.0010026062	161.32585	160.92532	155.36752
G001618265	155.81024	132.17503	159.00134	162.85	158.60002	138.4977	138.46597	0.0	160.7077	165.36462	159.17378	166.04805	147.30716	157.86093	133.28726	158.0913	152.3183	158.9126	159.758	158.84901	147.34787	74.541756	151.27635	169.01701	92.07957	119.61209	158.25931	168.86923	152.71669	160.0827	163.0664	169.02701	163.5029	110.893105	69.844124	147.95126	158.97205	168.41612	164.5749	123.00003	169.02951	138.52159	165.1097	159.93352	158.36784	52.32683	165.86632	155.5648	153.81487	158.25873	124.53921	69.44131	168.52069	158.2908	160.00987	169.0505	158.11774	154.28969	164.05463	164.20549	70.34433	147.34787	159.25557	173.1559	159.32379	169.03674	147.34735	166.78058	169.07346	158.46089	162.29501	167.78328	117.02169	131.94543	0.24915971	158.44125	122.98442	160.00478	138.48866	158.20616	117.035065	107.029076	161.6325	160.16545	147.3412	120.16132	113.825195	75.063866	162.95447	106.57542	158.65884	138.5192	158.17857	162.2035	166.73022
G001625515	45.010426	175.38385	45.904472	0.5418308	45.34643	159.70367	159.77792	160.7077	0.0	46.807064	45.629124	37.891052	59.377686	44.652958	57.274036	45.443596	59.816647	45.66203	45.861507	45.787144	59.39642	170.59744	59.82604	38.270298	155.53601	179.36955	45.557545	38.177967	39.316666	46.245853	0.4417828	38.300995	46.240906	166.042	178.94724	60.049877	45.84959	38.078762	0.6108115	165.39732	38.354218	159.62405	46.43194	45.883003	45.598434	167.47472	37.775887	44.93783	43.86522	45.53327	170.52625	180.11533	38.06173	45.56082	45.535538	38.36239	45.671947	44.466755	0.64133346	0.58761954	180.03323	59.39642	45.671432	51.37132	45.63945	38.35062	59.396713	52.517975	38.31444	44.8492	0.15478976	37.85252	163.70148	153.26953	158.44406	45.5873	172.8868	45.89801	159.61804	45.517754	174.63112	164.32014	44.79866	0.16577457	59.393692	189.4906	164.07816	156.79898	0.5725745	162.76439	45.767525	159.69765	45.486153	0.46056747	52.5059
G000471025	28.361635	174.7602	30.372915	47.928673	29.213991	167.5429	167.59741	165.36462	46.807064	0.0	30.766644	52.60725	59.955387	29.521112	67.3098	30.11874	76.817375	30.717546	31.007843	30.393217	59.97031	148.6532	76.9252	53.344383	164.87968	127.9683	30.241241	53.109524	28.00232	31.37215	48.27473	53.358208	31.709171	148.89569	171.52805	60.59998	30.490608	52.528233	47.48929	171.61209	53.428947	167.48978	0.10388045	30.16656	30.315233	144.73204	52.452007	28.188955	30.321455	30.318546	171.67918	172.93184	52.777008	30.136171	30.890257	53.42337	30.334375	24.542408	47.821354	47.460476	139.9533	59.97031	30.841787	6.5067816	28.70111	53.424995	59.970848	29.00834	53.38842	29.008966	47.41143	52.733627	164.51875	148.0938	163.22003	30.407387	171.22597	30.100529	167.51028	30.310287	170.55783	169.32658	26.028986	46.48242	59.94369	145.27022	163.25354	180.73038	47.531265	132.1494	30.448767	167.56071	30.252419	47.939827	28.979593
