	G000723745	G000382665	G000019665	G001914875	G000025905	G001804785	G001604605	G001604625	G001304075	G000428305	G001580195	G000382685	G000385295	G000155695	G000378105	G001804885	G000379365	G001803285	G001831055	G000980515	G001803255	G001872735	G000383735	G000020225	G001917295	G001803315	G001603055	G000173075	G000405145	G001647615	G000380785	G000170755	G001917935	G000406005	G000285795	G001613545	G001803205	G000383715	G001940945	G000739615	G900141815	G000437075	G000953475	G000817245	G001318295	G001919485	G001914855	G000172155	G000405125	G000172555	G000972765	G001578645	G000436395	G001439535	G000242935	G001438005	G000171235	G001580015	G000264605	G000402275	G000383755	G001683795	G001803225	G000372285	G000019965	G001017655	G000493945	G000526255	G001604585	G000438015
G000723745	0.0	214.94843	188.65886	147.90941	189.6599	223.5417	202.11623	197.93808	241.58011	117.91206	11.66607	215.23131	192.1445	193.2123	116.21477	220.68333	179.2928	221.6744	205.77124	5.130947	222.38232	200.17062	117.39179	1.4375198	2.6506515	222.99884	218.6704	137.83821	251.9996	12.035166	246.43022	238.19382	161.13553	240.32867	124.80725	137.16641	230.26833	180.46075	3.8435256	100.21252	109.01139	6.764069	188.49213	187.4353	157.6071	145.69571	152.39081	113.46154	245.39928	161.85504	195.56111	11.675622	3.1681914	193.85841	199.78487	173.20126	201.99968	200.7804	121.79869	249.65495	216.57451	56.69779	218.1068	236.79517	189.92264	219.30083	247.76794	179.01958	201.32277	213.20583
G000382665	214.94843	0.0	212.23332	192.33221	113.01174	223.48265	220.642	200.02379	240.93927	215.21976	210.7602	13.890689	198.05669	137.03156	210.72284	213.8662	202.80022	222.45349	142.12248	224.79709	218.2916	134.93901	217.72725	215.5915	216.44052	219.37605	217.94221	179.95155	254.35872	211.29846	249.065	226.39702	194.23753	228.90057	213.92538	181.75145	223.26125	194.5562	211.47897	196.60558	198.38033	217.98814	216.14265	208.83759	206.07779	191.69846	188.49268	182.03186	250.74231	180.15607	144.44861	210.80255	220.70926	115.91486	143.44756	193.71481	146.55777	151.69215	212.8835	261.42603	14.800409	212.76424	218.66362	239.68956	135.95546	223.33623	250.51158	200.06046	132.44658	149.47325
G000019665	188.65886	212.23332	0.0	164.74626	188.63339	205.73137	188.18901	189.86087	231.74599	189.63339	183.33664	213.74413	181.67491	193.3419	182.71791	202.63753	84.08638	213.60583	207.43184	188.95709	218.57487	191.20505	175.97478	184.7415	185.82433	217.99857	213.79202	148.68176	243.27165	183.47351	239.81218	228.42522	171.25339	230.69743	187.60048	147.84428	229.40001	166.93864	189.01929	168.20392	176.20895	182.25415	27.063723	27.173359	170.09134	158.98598	163.84157	155.47249	241.44617	157.84097	183.36757	183.33597	186.0561	194.03172	199.4941	132.4499	194.29173	196.26918	191.28749	245.76433	210.00816	187.49953	205.16212	232.81615	187.74634	217.18175	241.76274	81.810356	198.97998	211.04945
G001914875	147.90941	192.33221	164.74626	0.0	164.93283	198.59006	165.37886	173.80803	213.55159	148.70009	147.28242	195.0948	166.06229	165.66057	149.13194	195.3548	154.73631	199.41232	180.65259	151.58276	201.81131	170.66945	149.44725	148.71278	148.16577	198.2729	193.18741	87.07456	229.07484	146.38326	224.34633	214.72932	42.195305	221.75624	150.92441	96.00769	199.39702	148.37573	152.36607	131.3677	139.65411	146.25238	163.53912	161.30595	115.95183	7.378209	34.10541	118.74983	229.13954	133.59818	173.09381	147.30638	147.59554	173.27911	174.40492	151.72577	174.76788	176.57127	161.83551	228.93535	192.00917	151.30875	195.8797	222.33205	168.0736	191.50174	227.0245	159.81512	179.02803	192.24103
G000025905	189.6599	113.01174	188.63339	164.93283	0.0	194.33752	182.06094	182.4574	219.80417	197.4597	188.08307	115.85172	185.89995	111.64533	171.66054	202.42453	181.17694	205.17729	117.552	200.00517	194.0964	110.40272	191.94048	192.86559	196.5077	203.6606	205.16818	160.37654	233.02713	188.62247	226.70108	218.5247	182.85767	204.39429	206.25563	158.54132	208.70128	154.54759	190.24242	173.36534	167.83716	192.41463	192.81792	186.17479	184.59729	159.0344	173.54814	162.0507	229.10815	142.80942	125.87302	188.11899	201.03395	34.385197	125.93063	181.99149	124.66877	131.56624	202.14574	245.52718	113.80147	194.38727	202.59029	200.24289	116.04635	195.4301	225.43036	186.12923	107.72615	120.88635
G001804785	223.5417	223.48265	205.73137	198.59006	194.33752	0.0	194.80992	204.94801	210.86537	215.7704	209.0753	222.9744	216.44978	186.9522	220.58812	143.79857	201.51295	170.87193	206.05191	220.40736	175.83446	220.59384	202.98412	216.98184	220.69719	169.87552	123.86408	168.83415	221.56854	212.4485	221.1635	156.09451	200.33789	207.97992	223.83105	177.45125	105.37093	194.2979	214.00955	199.9956	205.71794	218.15965	210.48125	217.93932	203.99663	201.33253	204.7313	193.39813	226.75409	184.3244	203.26477	209.09543	222.6249	186.3751	199.11206	202.22775	204.82123	204.62595	214.50076	228.00238	222.68774	223.95206	61.342594	216.77061	197.05972	162.31323	220.2631	206.48572	200.19016	210.53802
G001604605	202.11623	220.642	188.18901	165.37886	182.06094	194.80992	0.0	135.59464	261.5479	194.18822	193.53001	217.799	132.10562	173.3919	188.62645	206.91676	185.97734	221.48573	202.328	186.32155	212.72006	187.40817	191.92172	199.86931	198.92462	213.29512	203.43419	165.76994	243.62288	196.48758	238.2797	224.99568	187.77611	220.51158	199.90155	159.71532	224.06262	131.5263	197.02524	168.30717	182.53072	196.4169	191.65639	196.77654	174.5099	169.14354	165.75056	167.9162	248.91891	96.7737	201.54903	193.55225	205.60336	196.0415	184.64381	172.60962	192.67036	186.1352	195.48454	255.66975	208.07161	187.24141	219.17188	234.63718	171.0366	206.24199	235.50156	183.9705	192.71725	213.73021
G001604625	197.93808	200.02379	189.86087	173.80803	182.4574	204.94801	135.59464	0.0	218.51405	191.07274	189.54579	204.87637	142.30748	184.92984	190.03125	219.03221	182.73859	200.94951	197.73946	188.8445	215.53847	192.7898	196.09486	190.21918	192.72673	205.76822	212.0833	148.26837	240.92693	189.95734	238.16809	229.48894	171.22063	230.04726	194.10074	157.2957	210.19206	122.73381	189.07207	178.19276	172.82124	190.80075	186.96953	189.94754	180.56494	166.63399	171.87694	159.14409	235.14044	115.116844	174.64001	189.51662	193.17502	178.19562	182.2189	175.72433	186.52968	189.0358	193.5498	246.9785	206.58766	193.36726	209.96866	219.46098	186.56757	205.31454	238.00069	168.74683	189.08487	201.8008
G001304075	241.58011	240.93927	231.74599	213.55159	219.80417	210.86537	261.5479	218.51405	0.0	243.9292	228.71858	245.46014	216.36311	209.44891	229.66092	196.44643	225.10919	210.82335	225.30452	228.94891	230.19925	232.82962	244.94545	233.76439	237.1968	208.59077	206.42145	201.97154	213.51239	231.40085	204.59126	222.17201	231.20634	167.87624	238.33139	202.76622	225.67041	210.51883	236.5769	232.6566	221.82576	241.0731	230.34715	233.9646	227.8827	207.63982	227.3792	209.91751	200.61916	196.58383	220.74092	228.68953	239.28816	222.1767	228.10437	222.56671	222.82399	221.51213	242.25018	205.3751	245.91817	236.9488	219.33308	171.83673	207.76143	216.52927	204.49895	227.34985	215.05087	233.68248
G000428305	117.91206	215.21976	189.63339	148.70009	197.4597	215.7704	194.18822	191.07274	243.9292	0.0	113.27738	214.45628	189.2944	194.31793	93.04007	222.78082	183.36536	219.1155	198.02826	121.46832	219.97769	198.67108	99.202896	117.70573	120.72778	223.90019	217.81676	140.47678	249.79065	114.71965	245.24518	232.53978	155.1799	228.31287	111.932304	133.42409	241.16566	171.62743	121.32853	66.27771	88.964424	118.46058	184.92842	184.7787	156.65775	148.28323	151.5213	118.873535	254.86089	154.45131	197.26808	113.290596	117.255104	180.26198	192.05063	162.62308	196.03542	200.36342	95.28721	247.66621	214.61058	114.08577	214.01086	232.37207	186.34608	232.97415	247.66132	180.31956	196.19106	211.7434
