	G000974425	G000701505	G000374085	G000325705	G900129725	G000265075	G000166395	G900111145	G900107465	G000379725	G001314815	G000379765	G900116885	G001890965	G000472485	G001747095	G000346615	G001593005	G000023125	G000298295	G000295935	G900113045	G000390185	G900116615	G000348925	G000373245	G000812565	G001567185	G001683905	G000715495	G001078055	G000423565	G900115665	G900112005	G000373265	G000296815	G000473765	G900142205	G000482465	G001611675	G000331535	G000222485	G000566685	G000427405	G000429425	G000973725	G000737515	G000169175	G000807855	G001442615	G900112365	G900103285	G900100765	G900156415	G000381545	G000383955	G000382225	G000265505	G000429405	G900112255	G000265405	G000429445	G001267955	G001281695	G001483135	G000430505	G001306455	G001050135	G000277005	G001657315	G000429465	G000166275	G000426725	G000014145	G000714815	G001747105	G001592935	G000374025	G001647285	G000024525	G900129785	G000374065	G000801315	G000422585	G000428845	G000330725	G000263195	G001592965	G000427295	G001898575	G001870735	G001592945	G000972495	G000473365	G000331105	G000183425
G000974425	0.0	42.001217	4.0543923	82.12059	43.00595	71.28471	99.506226	64.46823	153.34961	102.82959	130.3606	160.67877	67.663185	92.02703	80.95002	78.88487	78.896126	82.69681	32.451916	123.387344	140.51164	144.51419	60.58862	106.769	101.44414	98.75282	142.56844	39.598755	64.17496	81.22357	68.87463	75.20702	88.19482	109.23134	76.59415	8.936642	154.28429	86.231834	53.78043	67.47353	61.983356	121.03395	47.192337	91.58037	156.71846	83.066826	97.33756	96.217514	173.2003	91.46685	3.164312	46.60662	29.339987	58.638126	153.61945	16.503767	98.8001	237.90556	130.7666	78.07513	151.73909	89.21905	84.5882	193.6202	78.71649	82.161736	72.69783	115.17557	58.770985	63.999466	139.14256	132.99077	129.54045	89.55993	112.12847	75.00744	78.977585	3.1718762	62.088654	1.517606	137.33131	4.6861215	69.8729	138.70686	39.345913	107.68193	123.095474	97.19759	105.57385	2.7715938	16.079552	83.23101	51.937912	99.30885	22.252438	141.03322
G000701505	42.001217	0.0	49.67548	49.228523	38.379993	48.13477	65.324936	58.069763	92.812225	75.75685	72.84082	114.45165	61.08719	75.95475	75.36669	56.29278	56.49474	65.21767	18.142273	75.02774	81.37459	117.28973	41.686264	54.957306	87.86615	64.611404	104.31839	39.79361	40.95023	92.12293	68.82994	65.148926	55.640575	59.22182	73.36392	51.375618	93.52608	65.9949	61.65219	60.92774	37.227062	82.282265	39.58041	93.57057	92.98126	75.00103	98.5012	94.74565	140.23863	45.449295	39.20462	47.019062	48.873085	50.598133	92.97902	67.91207	108.54838	196.29391	72.94339	86.398796	91.07699	49.854694	67.59309	156.30917	91.056694	89.06381	46.202526	77.24139	50.45224	36.715984	78.14677	78.76193	86.364426	66.81379	79.166595	57.910526	58.429176	45.147312	54.866596	45.238876	80.57078	49.997314	70.50713	118.44701	10.357563	67.22725	107.292114	80.82575	69.14912	43.446705	44.94979	66.06014	66.263084	97.30172	66.322174	97.10778
G000374085	4.0543923	49.67548	0.0	86.251656	50.205112	76.97138	104.18582	74.98237	157.79182	110.287834	137.71103	161.84871	70.50798	98.74236	82.95352	89.485085	79.77095	92.46326	38.91109	126.26958	144.80025	149.2148	62.27724	114.81221	99.372536	103.670135	150.97334	43.713764	69.43485	80.98165	67.50829	81.35948	90.767334	119.08437	77.661514	8.627629	158.70296	94.60194	59.85354	70.310196	66.77415	125.545654	50.940594	97.879555	162.55713	87.93124	97.16234	101.36485	180.92448	96.89346	7.367243	45.18789	30.547897	62.613773	158.03812	13.929504	98.32941	242.04967	138.19472	84.591415	159.92464	97.03196	94.375244	198.44698	83.23108	88.99399	78.003815	120.63192	62.903057	65.88915	147.6141	140.48022	135.78499	94.16211	113.677284	85.93713	89.0	6.386923	65.481804	2.715847	143.369	0.4011817	67.97523	143.87993	48.190815	113.519104	129.68356	107.83855	111.31466	6.564852	14.678041	92.803185	53.341896	100.82786	22.810394	148.81142
G000325705	82.12059	49.228523	86.251656	0.0	46.969776	37.77876	42.45922	67.17042	30.276588	107.776184	27.697533	72.71411	75.82144	72.79178	86.81625	44.845657	52.040417	63.556442	64.940346	18.23993	28.445656	97.45397	10.904057	25.550276	79.46321	17.272888	97.715904	66.04419	34.451096	110.765236	55.984238	58.835068	62.52372	37.152866	73.27535	99.28452	30.637041	52.457382	71.489265	75.61609	30.022238	41.60146	25.807905	99.11429	30.95632	86.79198	115.841194	97.16283	136.37958	15.81399	79.7238	82.64451	83.69379	69.582344	30.379238	110.24375	129.74915	188.5781	28.091022	111.635925	58.20814	27.759468	66.90318	146.36008	126.1255	82.132034	37.639797	38.840508	69.49086	21.137589	31.257565	36.865234	79.850624	104.44297	39.133373	56.22639	50.33663	83.43579	59.874332	88.13167	30.589943	85.08949	86.18335	111.78758	41.60064	24.227135	116.75599	80.21291	34.63555	83.50792	90.34115	64.37955	87.40933	110.69018	110.29939	80.70201
G900129725	43.00595	38.379993	50.205112	46.969776	0.0	50.54774	84.53878	80.77984	90.168915	109.46024	83.2454	141.46094	66.799805	100.43089	77.32807	72.99338	82.75564	91.2136	24.038715	85.21946	98.9743	136.62813	34.0005	75.8198	93.884544	69.819565	133.45761	53.091637	56.633385	73.73685	62.59305	67.92295	95.71612	83.24102	65.74314	48.96664	90.962364	66.89863	57.51911	66.55189	54.884666	101.2693	49.544	109.678604	98.90651	95.27369	84.1986	110.46187	172.51758	64.21993	43.34482	44.6721	28.29015	59.0223	90.505615	56.465908	94.08191	221.99158	85.278915	87.71167	114.14046	42.219078	94.37274	186.5265	81.43865	75.94945	69.109344	98.46223	59.19453	46.23857	86.43665	102.040695	124.174904	103.52871	99.26943	78.932655	79.57258	48.984894	70.6094	47.13217	98.765144	50.139248	70.54375	118.747086	34.82433	52.668907	133.78305	107.65016	89.94391	49.850334	49.91802	92.120605	52.326027	133.14592	50.145355	132.40356
G000265075	71.28471	48.13477	76.97138	37.77876	50.54774	0.0	48.74298	63.338623	99.40592	111.56654	66.57996	113.451706	40.104137	89.04983	44.668316	58.96173	33.37383	71.2033	57.39814	68.211754	77.61834	104.02846	36.856525	51.538883	58.461403	37.037357	116.428604	71.524925	42.04657	90.377716	51.12739	75.619026	79.33753	56.85769	46.976887	82.990875	100.06629	57.04974	85.216446	39.91958	37.553204	78.10228	33.90585	113.773834	83.889786	49.126278	88.09049	104.089455	145.84772	44.23476	70.12387	69.92147	60.556488	39.80492	99.55532	96.79522	101.70757	206.14569	66.34159	114.19999	94.63841	49.59708	74.457016	160.62135	89.19269	81.355675	60.720997	72.67838	39.845104	40.35962	70.206406	71.76779	91.52111	102.28886	59.836903	61.773724	63.701427	74.57226	44.70405	74.3486	76.90326	76.75425	61.449123	108.87083	50.72295	71.86846	129.2819	74.63977	67.522064	73.68937	77.872406	72.407394	63.685963	101.18095	90.276276	100.585266
G000166395	99.506226	65.324936	104.18582	42.45922	84.53878	48.74298	0.0	39.27152	88.26148	72.39079	51.151752	72.69826	70.82117	49.95564	80.3568	23.247633	43.70792	31.216267	99.0207	41.062725	39.62828	57.949986	51.060444	24.934673	101.79109	35.02513	43.376118	71.7367	29.273542	130.64026	62.108334	64.2879	45.440773	21.568472	74.62285	115.933304	88.76966	39.53062	88.21964	70.7057	22.053617	34.63307	27.822275	77.431076	68.08395	56.58589	127.51527	78.65014	66.432785	24.505184	92.63343	108.97274	105.86175	65.204666	88.28503	129.70537	140.126	137.5764	47.287716	117.76639	39.390865	68.23739	33.5217	92.965866	135.38089	96.14057	28.485472	29.849525	64.433685	39.266846	54.079857	27.608627	37.023064	78.32389	28.761507	24.03288	27.700905	104.16371	38.199905	101.71238	35.282265	103.90335	100.11968	113.975174	65.050354	85.61591	80.372154	27.591972	29.322199	99.86434	110.067024	32.696995	102.1316	76.97888	131.15271	41.559837
G900111145	64.46823	58.069763	74.98237	67.17042	80.77984	63.338623	39.27152	0.0	126.94186	69.47706	88.76157	105.56788	65.85934	31.606613	79.14302	22.568384	57.54555	9.371546	80.9551	77.129265	82.24763	66.39882	71.009476	57.432995	114.5328	75.28656	53.535145	40.990257	38.629658	108.57114	66.860115	43.644703	61.303364	48.180634	78.33397	89.864914	127.701836	51.98782	48.33373	65.772156	36.811565	57.390846	41.607986	46.070847	117.04177	51.410576	118.0704	46.664227	78.78638	59.115574	60.46427	119.759514	91.7004	62.679466	127.01979	91.33895	122.54563	149.22473	85.44298	68.81334	69.817856	97.4973	10.023251	100.50195	95.40042	66.308426	33.526688	49.494114	61.651188	69.29914	97.38051	61.90228	65.06374	76.05459	71.574036	12.906483	10.642323	70.05096	28.892855	67.7665	75.53674	75.16068	90.91709	98.194466	56.67663	109.016235	56.86795	13.180557	46.287888	64.19997	91.03342	9.646824	77.97186	69.61699	95.97698	57.71023
G900107465	153.34961	92.812225	157.79182	30.276588	90.168915	99.40592	88.26148	126.94186	0.0	143.11906	22.703533	68.57482	159.98048	109.47531	176.72873	91.021805	120.33783	103.98059	115.14697	18.98312	22.541573	126.53452	40.07098	40.181183	150.45161	58.510567	122.14055	110.146484	77.94729	172.45964	125.76647	85.04898	86.513275	57.243107	151.94162	173.04988	0.027913222	99.64111	104.0678	159.72304	81.61053	53.177433	76.33466	134.22404	15.239924	180.54103	182.3013	146.19936	168.35207	33.629417	148.05426	136.39908	147.86557	152.47949	0.012139639	180.99586	195.37032	185.44826	24.503721	146.51218	52.147415	45.770973	106.53735	160.48663	201.88443	134.82741	67.36533	54.643513	152.26668	67.73778	31.3669	41.32103	109.13225	149.35663	76.79092	101.997505	87.40712	151.49005	131.78395	162.79955	26.666807	156.46887	158.71588	128.32501	79.58799	21.947903	137.87941	138.15788	52.282104	153.0446	161.73582	103.8593	156.06778	173.85828	181.50671	98.83224
G000379725	102.82959	75.75685	110.287834	107.776184	109.46024	111.56654	72.39079	69.47706	143.11906	0.0	127.26041	75.404305	115.93187	50.680283	132.59114	87.37641	89.35598	57.536594	103.80037	98.07387	101.68045	84.12283	110.46225	93.8544	161.51247	112.791245	40.699734	48.022434	40.646202	152.09308	134.02025	82.69633	42.653122	86.77113	137.8938	120.25369	143.58958	105.8884	91.94517	115.94396	52.41534	56.330135	64.20749	59.54843	161.21857	110.40459	158.07137	72.07475	43.600643	85.3335	93.62122	142.76369	128.37173	109.88163	143.01567	134.52682	165.06487	82.8924	124.35155	82.7462	74.04101	146.87144	56.882504	61.634155	153.14899	142.694	74.89682	57.148926	109.02251	90.8178	145.21596	85.950676	33.558372	7.549276	64.8559	63.310658	63.743923	109.64515	92.030304	106.227196	96.39604	111.21805	136.07939	129.69064	66.702484	159.00761	43.112637	84.82965	54.25021	102.673775	108.7313	56.79037	129.88268	48.31012	137.93848	45.444878
