	G001536165	G001536025	G001804665	G000375825	G001872685	G001576985	G001304015	G001304155	G001304035	G000402795	G000402455	G001458575	G001802895	G001803165	G001536145	G001804605	G001567545	G001536045	G001536105	G001802995	G001535985	G001803075	G001873185	G001804635	G001871325	G001516025	G001899175	G001577025	G001536065	G001536125	G001804625	G001803105	G001626695	G000405805	G001919105	G001626685	G001771055	G001302725	G000279145	G001626845	G001442845	G001442855	G001442935	G001442925	G001886815	G001626755	G001775365	G002011685	G001508355	G001802215	G001802205	G000258405	G001626675	G001567175	G001626655	G001643615	G001775405	G001535965	G001773465	G000478645	G001803345	G001485645	G001536205	G001803365	G001536085	G001802805	G001804555	G000402755	G001577215	G001509335	G001485625	G001804545	G001536185	G001804565	G001802785	G001302225	G001802865	G001802795	G001773425	G000403035	G001304315
G001536165	0.0	1.0020152	104.507675	121.12015	168.9808	134.59831	201.17297	150.71425	136.24536	151.46648	139.57495	1.0620456	80.08365	104.08477	0.95858496	95.56121	141.51099	1.2315795	7.253969	91.5748	1.0514015	101.60192	93.65917	104.01105	79.96531	144.82375	241.8279	148.89424	25.77238	1.1036263	188.28824	104.08846	205.69037	255.72008	194.61469	201.20145	164.32422	220.28194	148.94199	147.66907	7.6065936	11.48712	1.0457894	0.951817	135.33455	203.64716	211.26675	210.49002	204.8945	178.87389	101.49215	93.24884	151.31097	201.1683	203.39311	96.97027	118.144295	1.0093791	206.12549	115.77551	104.1263	7.6011763	1.0954202	105.39297	1.0459484	104.42809	188.82214	158.74007	221.54282	194.71841	0.951817	103.63361	1.1764897	119.604164	77.25297	193.56883	108.723564	103.24503	106.58095	138.79918	136.99254
G001536025	1.0020152	0.0	103.103584	117.66484	165.4856	130.66673	197.63495	148.29854	134.12827	148.74432	136.61914	0.18701696	77.795944	102.64569	0.14622997	93.21053	139.45552	0.3960857	6.735415	89.82854	0.16080579	99.98585	91.80081	102.569244	78.41414	142.26862	238.20424	144.79634	25.536217	0.23131049	185.09503	102.66127	202.50826	251.6862	191.32878	197.989	161.10411	216.63815	147.22513	143.6106	7.0239854	10.553261	0.2051515	0.110280655	132.56244	200.4444	208.63829	208.20602	202.24467	175.57597	99.59403	91.24504	147.11629	197.66838	200.17413	94.49075	116.0671	0.17119229	203.3218	113.332504	102.68618	6.994596	0.2067756	104.21735	0.20487252	103.05072	185.66472	155.89153	218.17342	191.9312	0.110280655	101.75701	0.3174245	117.16619	74.940025	189.6999	106.88009	101.34869	104.372826	136.4736	135.22285
G001804665	104.507675	103.103584	0.0	94.83353	152.70183	113.30375	218.33043	159.12056	69.27442	104.70216	110.0522	103.716034	38.3883	0.033536624	103.00364	36.775764	91.11547	103.68593	125.85633	23.80134	102.53111	47.424694	33.227272	0.111810505	19.13819	67.6621	220.02106	128.93019	150.44052	101.78055	156.93387	0.02659433	181.94032	210.30412	176.86702	177.46635	134.90292	225.57286	73.020615	130.0395	125.92524	131.46834	101.58137	102.51769	104.56628	181.30563	187.99762	169.77426	182.79373	154.4844	48.665493	47.465355	132.17221	138.09772	180.0624	70.07907	121.44602	102.118935	180.4419	72.63624	0.03337734	125.73732	102.76179	1.3800313	101.57555	0.07910839	157.7036	107.82224	188.1538	172.4532	102.51769	51.70917	103.51105	72.65196	31.96601	165.13043	69.56597	50.985905	123.74859	89.4082	170.8617
G000375825	121.12015	117.66484	94.83353	0.0	90.184746	28.704304	136.29497	90.74457	41.539227	62.66288	27.484064	117.95094	39.139015	93.50112	117.84083	36.41391	51.230587	118.306305	130.66045	49.18567	116.64981	53.108322	72.58861	93.95778	73.44017	62.079304	207.26288	32.448048	196.23784	115.22626	156.51938	94.37893	158.23015	105.12083	174.90526	151.5119	42.976933	162.07074	108.99905	32.921486	137.36676	142.37975	116.740425	116.63687	94.050186	154.16113	123.12142	122.39963	76.18482	144.55789	47.96754	75.6929	34.38457	116.19571	155.69305	71.750854	66.49786	115.55313	120.4359	28.765196	93.54535	137.10718	117.34714	105.026825	116.73375	94.96169	157.44833	61.875675	148.93127	71.348854	116.63687	48.721977	118.33477	57.727432	47.78746	176.44229	63.440643	48.30986	69.737495	43.798252	82.34501
G001872685	168.9808	165.4856	152.70183	90.184746	0.0	36.940617	54.42444	67.05729	91.97022	238.3475	92.89061	166.62811	149.15288	152.74403	165.99129	130.47783	155.40044	167.95386	197.41571	140.79227	164.1283	173.49413	169.12619	152.35855	148.96309	207.0251	120.07582	43.786724	247.62044	164.02634	63.718266	152.62856	69.72373	334.76755	83.658005	65.37094	43.998047	88.15733	129.90268	45.174126	200.60797	169.21103	165.0056	165.02272	57.849213	67.22935	79.44653	36.886383	44.07758	51.827393	172.27333	210.14069	43.90011	38.39601	67.695305	36.760277	87.79009	164.15967	53.91873	62.352825	152.79765	200.28125	165.2416	150.3645	164.99947	151.38545	63.894398	235.01959	377.86096	37.63453	165.02272	175.57349	166.53308	204.96039	158.76942	75.62818	222.8491	174.67676	109.36811	57.06157	98.00461
G001576985	134.59831	130.66673	113.30375	28.704304	36.940617	0.0	73.368904	54.291824	61.810413	123.6495	40.05956	131.59627	81.73967	112.595894	131.1465	74.023796	97.66953	132.76714	155.37773	85.631905	129.39455	103.75993	114.61934	112.65769	104.49342	117.99849	153.49661	4.0816154	217.50865	128.82431	103.707565	113.00473	103.18458	196.58095	121.298325	97.25939	31.006313	107.7347	120.40944	4.599377	160.76547	149.17043	129.96054	129.94379	63.918423	99.42531	77.23118	68.27611	47.728542	90.286354	100.16643	135.06754	4.5320234	66.16068	100.82487	40.598377	58.482296	128.96423	68.22357	36.688087	112.661476	160.42903	130.56314	117.84404	129.95386	112.91014	104.35755	121.4175	252.68669	41.13379	129.94379	102.14425	131.65222	119.26371	90.487236	114.06063	130.76035	101.46531	67.05565	44.11952	69.22732
G001304015	201.17297	197.63495	218.33043	136.29497	54.42444	73.368904	0.0	36.05455	149.51472	281.70325	111.27208	198.92142	196.10121	218.31595	198.18047	190.21881	216.36255	200.5174	233.14445	193.85745	196.43715	216.32137	237.04582	217.89365	214.68701	258.0041	114.309204	88.3629	300.25043	196.23311	70.77047	218.21028	45.274532	383.21515	73.03168	41.804256	76.46175	21.487299	192.03044	89.92248	237.92795	201.15561	197.49605	197.17819	104.46794	42.16084	41.362522	48.838776	72.77832	47.608303	218.29219	275.35596	87.80948	76.833206	44.076496	71.49239	91.917755	196.21211	27.34936	107.38844	218.40631	237.47765	197.34642	214.56375	197.48947	217.04828	71.12295	277.06384	462.80066	64.58084	197.17819	220.58165	199.03221	281.59973	217.62128	88.93383	267.6397	219.94923	107.21245	103.67049	69.08491
G001304155	150.71425	148.29854	159.12056	90.74457	67.05729	54.291824	36.05455	0.0	113.36836	202.8062	67.58117	149.2613	129.90211	158.91493	148.53685	133.90161	169.25745	150.16142	176.40599	131.79074	147.18549	144.30664	178.76804	158.76343	151.53719	184.76913	160.6404	71.23287	241.0565	146.95308	100.30675	158.97668	76.05567	306.89963	113.59467	71.33384	58.839283	42.273266	155.8917	72.45376	181.88864	157.83205	148.08565	147.7074	92.20605	72.50075	30.456709	61.084766	60.529293	76.21484	147.82166	196.58339	72.09397	95.953384	74.3075	55.88249	44.970375	146.64592	30.551271	76.41302	158.99847	181.56802	148.1226	157.9785	148.08003	158.39795	101.16587	199.89767	375.64432	53.766537	147.7074	149.4943	149.24371	211.07312	151.52654	126.22404	184.46243	148.97711	51.296284	79.44213	19.57131
G001304035	136.24536	134.12827	69.27442	41.539227	91.97022	61.810413	149.51472	113.36836	0.0	99.24725	56.22055	134.85725	49.372643	68.36292	134.55879	23.515076	33.277916	134.38707	157.75206	32.71546	133.17624	42.289223	40.755253	68.5117	47.287704	57.076553	172.25073	70.52395	213.49858	131.87358	120.60517	68.99253	137.77914	160.08258	137.62006	132.93443	51.71985	168.36134	39.136906	71.71062	162.55177	157.609	133.06454	133.31337	59.36961	135.74234	140.10396	102.32397	81.42478	116.877556	40.48016	89.10324	72.48813	94.04259	135.29276	51.272125	83.65867	132.54626	126.12589	11.829314	68.39731	162.27516	133.92484	76.00589	133.05812	69.20388	121.06826	96.57883	173.24243	76.87971	133.31337	41.97302	135.24683	79.024765	52.03735	144.08746	78.42162	41.747227	99.67522	16.933607	105.268074
G000402795	151.46648	148.74432	104.70216	62.66288	238.3475	123.6495	281.70325	202.8062	99.24725	0.0	91.605774	149.02016	43.1782	102.86678	149.19499	54.061485	77.90532	148.43974	154.48947	61.375786	148.14671	50.353443	67.56058	104.053345	82.71684	35.189137	327.1152	131.40143	216.58249	146.29968	283.01056	104.13192	295.14664	43.216972	293.09412	287.976	150.9466	301.02316	162.44829	130.99704	161.6628	192.28667	147.5902	147.84822	179.56085	291.66235	240.20831	271.3425	225.10841	276.8936	44.12335	58.022717	134.4578	248.14941	292.36194	159.64433	139.15688	147.13596	253.24661	105.577126	102.91566	161.40718	149.3972	119.90304	147.58368	105.9789	284.40802	2.6057506	70.40195	217.52179	147.84822	43.6464	149.40732	46.28478	41.717228	294.3055	36.044193	43.593693	125.15181	139.81683	175.17291
